district,total,white,black,american_indian,asian,pacific_islander,other,two_or_more,white_pct,black_pct,american_indian_pct,asian_pct,pacific_islander_pct,other_pct,two_or_more_pct
01,728765,569431,132334,3124,3701,213,9540,10422,78.136,18.159,0.429,0.508,0.029,1.309,1.43
02,729192,527328,156143,3545,10288,381,17502,14005,72.317,21.413,0.486,1.411,0.052,2.4,1.921
03,728959,604056,19373,10502,17527,5019,52230,20252,82.866,2.658,1.441,2.404,0.689,7.165,2.778
04,729002,544414,142045,5077,4586,250,20299,12331,74.679,19.485,0.696,0.629,0.034,2.784,1.691
