district,total,white,black,american_indian,asian,pacific_islander,other,two_or_more,white_pct,black_pct,american_indian_pct,asian_pct,pacific_islander_pct,other_pct,two_or_more_pct
01,741837,518742,195379,1731,4705,232,12498,8550,69.927,26.337,0.233,0.634,0.031,1.685,1.153
02,741862,243647,479392,2709,3714,145,6482,5773,32.843,64.62,0.365,0.501,0.02,0.874,0.778
03,741822,456867,255703,7674,6607,304,7707,6960,61.587,34.47,1.034,0.891,0.041,1.039,0.938
04,741776,535428,167911,2916,10716,506,11475,12824,72.182,22.636,0.393,1.445,0.068,1.547,1.729
