district,total,white,black,american_indian,asian,pacific_islander,other,two_or_more,white_pct,black_pct,american_indian_pct,asian_pct,pacific_islander_pct,other_pct,two_or_more_pct
01,682820,458705,188859,7889,9106,326,7999,9936,67.178,27.659,1.155,1.334,0.048,1.171,1.455
02,682820,446880,201339,3398,7531,516,12103,11053,65.446,29.486,0.498,1.103,0.076,1.773,1.619
03,682819,482435,171780,2356,7839,410,8025,9974,70.653,25.157,0.345,1.148,0.06,1.175,1.461
04,682819,591403,46636,5745,3078,577,24460,10920,86.612,6.83,0.841,0.451,0.085,3.582,1.599
05,682819,518464,116026,5188,10749,596,17026,14770,75.93,16.992,0.76,1.574,0.087,2.493,2.163
06,682819,551887,92576,2121,10845,301,16729,8360,80.825,13.558,0.311,1.588,0.044,2.45,1.224
07,682820,225620,434095,1521,4447,331,10568,6238,33.042,63.574,0.223,0.651,0.048,1.548,0.914
