district,total,white,black,american_indian,asian,pacific_islander,other,two_or_more,white_pct,black_pct,american_indian_pct,asian_pct,pacific_islander_pct,other_pct,two_or_more_pct
01,705123,661715,15447,2006,4507,234,11315,9899,93.844,2.191,0.284,0.639,0.033,1.605,1.404
02,705123,627230,43360,2119,9663,460,10374,11917,88.953,6.149,0.301,1.37,0.065,1.471,1.69
03,705122,596869,76475,2393,7815,410,9753,11407,84.648,10.846,0.339,1.108,0.058,1.383,1.618
04,705123,600438,57014,2621,10607,358,20277,13808,85.154,8.086,0.372,1.504,0.051,2.876,1.958
05,705123,458067,176236,2356,19349,421,31767,16927,64.963,24.994,0.334,2.744,0.06,4.505,2.401
06,705123,646866,28508,2321,5165,344,11675,10244,91.738,4.043,0.329,0.732,0.049,1.656,1.453
07,705123,596819,69428,2554,10267,822,9561,15672,84.64,9.846,0.362,1.456,0.117,1.356,2.223
08,705122,537283,135646,1794,11765,219,8541,9874,76.197,19.237,0.254,1.669,0.031,1.211,1.4
09,705123,196661,455201,1830,12104,374,28692,10261,27.89,64.556,0.26,1.717,0.053,4.069,1.455
