district,total,white,black,american_indian,asian,pacific_islander,other,two_or_more,white_pct,black_pct,american_indian_pct,asian_pct,pacific_islander_pct,other_pct,two_or_more_pct
01,755445,596819,99210,10452,14910,345,18632,15077,79.002,13.133,1.384,1.974,0.046,2.466,1.996
02,755538,236430,468646,2586,18858,267,16571,12180,31.293,62.028,0.342,2.496,0.035,2.193,1.612
03,755596,532798,187486,3706,9869,243,8962,12532,70.514,24.813,0.49,1.306,0.032,1.186,1.659
04,755605,462166,256986,6704,6674,625,8788,13662,61.165,34.011,0.887,0.883,0.083,1.163,1.808
05,755581,466461,266252,3401,5012,195,5111,9149,61.735,35.238,0.45,0.663,0.026,0.676,1.211
06,755607,541518,173816,3730,14809,288,11163,10283,71.667,23.003,0.494,1.96,0.038,1.477,1.361
