district,total,white,black,american_indian,asian,pacific_islander,other,two_or_more,white_pct,black_pct,american_indian_pct,asian_pct,pacific_islander_pct,other_pct,two_or_more_pct
01,722650,601474,83551,1746,13340,301,8903,13335,83.232,11.562,0.242,1.846,0.042,1.232,1.845
02,723447,415277,234180,2929,33291,459,14888,22423,57.403,32.37,0.405,4.602,0.063,2.058,3.099
03,720094,477913,148404,2360,46324,537,23648,20908,66.368,20.609,0.328,6.433,0.075,3.284,2.904
04,720065,224699,393453,3372,22174,479,54963,20925,31.205,54.641,0.468,3.079,0.067,7.633,2.906
05,720472,375415,266141,3262,27602,429,24676,22947,52.107,36.94,0.453,3.831,0.06,3.425,3.185
06,728448,505160,92769,2216,72096,354,31310,24543,69.347,12.735,0.304,9.897,0.049,4.298,3.369
07,716862,252265,396835,2043,41349,254,7944,16172,35.19,55.357,0.285,5.768,0.035,1.108,2.256
08,721514,507081,84965,2492,62677,344,40500,23455,70.28,11.776,0.345,8.687,0.048,5.613,3.251
