district,total,white,black,american_indian,asian,pacific_islander,other,two_or_more,white_pct,black_pct,american_indian_pct,asian_pct,pacific_islander_pct,other_pct,two_or_more_pct
001,41995,28759,10140,115,1365,17,734,865,68.482,24.146,0.274,3.25,0.04,1.748,2.06
002,40715,10483,27396,160,295,2,1445,934,25.747,67.287,0.393,0.725,0.005,3.549,2.294
003,40878,13836,20900,240,349,6,4221,1326,33.847,51.128,0.587,0.854,0.015,10.326,3.244
004,41287,35331,1576,69,3264,10,346,691,85.574,3.817,0.167,7.906,0.024,0.838,1.674
005,40722,34504,2888,72,2435,10,182,631,84.731,7.092,0.177,5.98,0.025,0.447,1.55
006,41985,36878,2833,253,520,17,769,715,87.836,6.748,0.603,1.239,0.04,1.832,1.703
007,42033,33371,3570,144,732,12,3209,995,79.392,8.493,0.343,1.741,0.029,7.634,2.367
008,44063,37257,2235,59,3269,10,384,849,84.554,5.072,0.134,7.419,0.023,0.871,1.927
009,41073,29837,5703,147,2334,14,1945,1093,72.644,13.885,0.358,5.683,0.034,4.735,2.661
010,44841,32592,7636,89,2640,11,714,1159,72.683,17.029,0.198,5.887,0.025,1.592,2.585
011,42149,24307,11343,144,2314,12,2407,1622,57.669,26.912,0.342,5.49,0.028,5.711,3.848
012,44750,28296,12301,118,1842,8,966,1219,63.231,27.488,0.264,4.116,0.018,2.159,2.724
013,42603,21675,15065,132,1922,32,2249,1528,50.877,35.361,0.31,4.511,0.075,5.279,3.587
014,44835,32106,10134,139,721,26,589,1120,71.609,22.603,0.31,1.608,0.058,1.314,2.498
015,44527,35159,6494,455,630,17,541,1231,78.961,14.584,1.022,1.415,0.038,1.215,2.765
016,41359,28835,8637,182,1063,26,909,1707,69.719,20.883,0.44,2.57,0.063,2.198,4.127
017,44707,23161,17215,259,1244,26,963,1839,51.806,38.506,0.579,2.783,0.058,2.154,4.113
018,45311,34167,7651,208,378,39,1741,1127,75.406,16.886,0.459,0.834,0.086,3.842,2.487
019,42775,30292,6781,599,347,32,3589,1135,70.817,15.853,1.4,0.811,0.075,8.39,2.653
020,42523,35487,4000,368,422,8,1359,879,83.454,9.407,0.865,0.992,0.019,3.196,2.067
021,42803,32284,7316,229,463,65,1257,1189,75.425,17.092,0.535,1.082,0.152,2.937,2.778
