district,total,white,black,american_indian,asian,pacific_islander,other,two_or_more,white_pct,black_pct,american_indian_pct,asian_pct,pacific_islander_pct,other_pct,two_or_more_pct
052,291720,264631,10334,614,7613,103,2220,6205,90.714,3.542,0.21,2.61,0.035,0.761,2.127
053,291281,227103,41534,2325,7213,87,4275,8744,77.967,14.259,0.798,2.476,0.03,1.468,3.002
054,294034,272348,8596,765,3931,82,3177,5135,92.625,2.923,0.26,1.337,0.028,1.08,1.746
055,291420,238551,31323,709,7133,63,7046,6595,81.858,10.748,0.243,2.448,0.022,2.418,2.263
056,290820,206854,53288,1046,10796,110,10093,8633,71.128,18.323,0.36,3.712,0.038,3.471,2.969
057,292369,273837,4969,3340,1796,68,3331,5028,93.661,1.7,1.142,0.614,0.023,1.139,1.72
058,295046,265398,10717,763,9590,74,1897,6607,89.951,3.632,0.259,3.25,0.025,0.643,2.239
059,301278,278762,10898,1126,4779,46,2103,3564,92.527,3.617,0.374,1.586,0.015,0.698,1.183
060,292032,255177,17227,3345,5279,65,5425,5514,87.38,5.899,1.145,1.808,0.022,1.858,1.888
061,291629,237320,32152,1247,13232,69,2101,5508,81.377,11.025,0.428,4.537,0.024,0.72,1.889
062,293383,262073,18270,2609,2355,80,1917,6079,89.328,6.227,0.889,0.803,0.027,0.653,2.072
063,290766,172857,96000,1404,6855,100,6556,6994,59.449,33.016,0.483,2.358,0.034,2.255,2.405
