,CNTYVTD,CD,sldl309,sldl358,sldu172
191,250017,34,43,43,21
192,250018,34,43,43,21
193,250019,34,43,43,21
194,270101,31,55,55,24
195,270102,31,55,55,24
196,270103,31,55,55,24
197,270104,31,55,55,24
198,270105,31,55,55,24
199,270106,31,55,55,24
200,270107,31,55,55,24
201,270108,31,55,55,24
202,270109,31,55,55,24
203,270110,31,55,55,24
204,270111,31,54,54,24
205,270113,31,54,54,24
206,270201,31,54,54,24
207,270202,31,54,54,24
208,270203,31,54,54,24
209,270204,31,54,54,24
210,270205,31,54,54,24
211,270206,31,54,54,24
212,270207,31,54,54,24
213,270208,31,54,54,24
214,270209,31,54,54,24
215,270210,31,54,54,24
216,270301,31,55,55,24
217,270302,31,55,55,24
218,270303,31,55,55,24
219,270304,31,55,55,24
220,270305,31,55,55,24
221,270306,31,55,55,24
222,270307,31,55,55,24
223,270308,31,55,55,24
224,270309,31,55,55,24
225,270310,31,55,55,24
226,270311,31,55,55,24
227,270312,31,55,55,24
228,270313,31,55,55,24
229,270314,31,55,55,24
230,270315,31,55,55,24
231,270317,31,55,55,24
232,270401,31,54,54,24
233,270402,31,54,54,24
234,270404A,31,54,54,24
235,270404B,31,54,54,24
236,270405,25,54,54,24
237,270406,31,55,55,24
238,270408,31,54,54,24
239,270409,31,54,54,24
240,270410,31,55,55,24
241,270412,25,54,54,24
242,270413,25,54,54,24
243,291001,35,123,123,26
244,291002,23,124,124,26
245,291003,35,123,123,26
246,291004,35,119,119,26
247,291005,20,119,119,26
248,291006,20,119,119,26
249,291007,20,119,119,26
250,291008,35,123,123,26
251,291009,23,124,124,19
252,291010,35,123,123,26
253,291011,35,118,118,19
254,291012,23,124,124,26
255,291013,20,119,119,26
256,291014,20,118,118,19
257,291015,20,118,118,19
258,291016,20,118,118,19
259,291017,35,119,119,19
260,291018,20,118,118,19
261,291019,35,119,119,19
262,291020,20,118,118,19
263,291021,20,118,118,19
264,291022,20,118,118,19
265,291023,20,118,118,19
266,291024,23,124,124,26
267,291025,20,117,117,19
268,291026,20,117,117,19
269,291027,23,124,124,19
270,291028,35,118,118,19
271,291029,20,124,124,26
272,291030,20,117,117,19
273,291031,20,124,124,26
274,291032,20,124,124,26
275,291033,20,117,117,19
276,291034,23,117,117,19
277,291035,20,117,117,19
278,291036,20,117,117,19
279,291037,20,117,117,19
280,291038,20,117,117,26
281,291039,20,117,117,19
282,291040,20,117,117,19
283,291041,20,117,117,19
284,291042,20,117,117,19
285,291043,20,124,124,26
