state,black_districts,total_districts,black_vap,total_vap,black_district_pct,black_vap_pct
NJ,1,12,883471.0,6726680.0,8.333,13.134
GA,3,14,2097470.0,7196101.0,21.429,29.147
MD,2,8,1256052.0,4420588.0,25.0,28.414
MS,1,4,767499.0,2211742.0,25.0,34.701
VA,1,11,1151835.0,6147347.0,9.091,18.737
FL,1,27,2136430.0,14799219.0,3.704,14.436
IL,3,18,1335818.0,9701453.0,16.667,13.769
NY,3,27,2292769.0,15053173.0,11.111,15.231
TN,1,9,755492.0,4850104.0,11.111,15.577
TX,0,36,2123923.0,18279737.0,0.0,11.619
LA,1,6,1026233.0,3415357.0,16.667,30.048
AR,0,4,315462.0,2204443.0,0.0,14.31
NM,0,3,31019.0,1540507.0,0.0,2.014
AZ,0,9,182710.0,4763003.0,0.0,3.836
SC,1,7,939461.0,3544890.0,14.286,26.502
DE,0,1,137742.0,692169.0,0.0,19.9
NC,1,13,1497453.0,7253848.0,7.692,20.644
AL,1,7,628355.0,2610578.0,14.286,24.07
NV,0,4,158545.0,2035543.0,0.0,7.789
