state,black_districts,total_districts,black_vap,total_vap,black_district_pct,black_vap_pct
SC,37,124,939461.0,3544890.0,29.839,26.502
TN,13,99,755492.0,4850104.0,13.131,15.577
AZ,0,30,182710.0,4763003.0,0.0,3.836
GA,58,180,2097470.0,7196101.0,32.222,29.147
NJ,2,40,883471.0,6726680.0,5.0,13.134
AR,14,100,315462.0,2204443.0,14.0,14.31
NV,0,42,158545.0,2035543.0,0.0,7.789
TX,13,150,2123923.0,18279737.0,8.667,11.619
NC,25,120,1497453.0,7253848.0,20.833,20.644
VA,12,100,1151835.0,6147347.0,12.0,18.737
MS,43,122,767499.0,2211742.0,35.246,34.701
LA,32,106,1026233.0,3415357.0,30.189,30.048
AL,26,105,829140.0,3299476.0,24.762,25.129
NY,23,150,2292769.0,15053173.0,15.333,15.231
IL,18,119,1335818.0,9701453.0,15.126,13.769
NM,0,70,31019.0,1540507.0,0.0,2.014
DE,6,41,137742.0,692169.0,14.634,19.9
FL,15,120,2136430.0,14799219.0,12.5,14.436
MD,19,68,1256052.0,4420588.0,27.941,28.414
