state,total_districts,black_vap,total_vap,black_vap_pct,black_districts_25.0,black_district_25.0_pct,black_districts_30.0,black_district_30.0_pct,black_districts_35.0,black_district_35.0_pct,black_districts_40.0,black_district_40.0_pct,black_districts_45.0,black_district_45.0_pct,black_districts_50.0,black_district_50.0_pct
VA,40,1151835.0,6147347.0,18.737,10,25.0,5,12.5,5,12.5,5,12.5,5,12.5,5,12.5
LA,40,1026233.0,3415357.0,30.048,19,47.5,15,37.5,11,27.5,11,27.5,11,27.5,10,25.0
MS,52,767499.0,2211742.0,34.701,28,53.846,22,42.308,18,34.615,17,32.692,15,28.846,15,28.846
NY,63,2292769.0,15053173.0,15.231,12,19.048,11,17.46,9,14.286,9,14.286,8,12.698,7,11.111
AL,35,855682.0,3334409.0,25.662,9,25.714,8,22.857,8,22.857,8,22.857,8,22.857,8,22.857
IL,60,1335818.0,9701453.0,13.769,10,16.667,9,15.0,8,13.333,8,13.333,8,13.333,8,13.333
NM,42,31019.0,1540507.0,2.014,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
DE,21,137742.0,692169.0,19.9,6,28.571,4,19.048,3,14.286,2,9.524,2,9.524,1,4.762
FL,40,2136430.0,14799219.0,14.436,7,17.5,6,15.0,5,12.5,3,7.5,2,5.0,1,2.5
MD,48,1256052.0,4420588.0,28.414,18,37.5,16,33.333,14,29.167,12,25.0,12,25.0,12,25.0
SC,46,939461.0,3544890.0,26.502,19,41.304,15,32.609,13,28.261,12,26.087,10,21.739,9,19.565
TN,33,755492.0,4850104.0,15.577,5,15.152,4,12.121,4,12.121,4,12.121,4,12.121,4,12.121
AZ,30,182710.0,4763003.0,3.836,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
GA,56,2097470.0,7196101.0,29.147,26,46.429,20,35.714,15,26.786,15,26.786,15,26.786,15,26.786
AR,35,315462.0,2204443.0,14.31,7,20.0,5,14.286,4,11.429,4,11.429,4,11.429,4,11.429
NJ,40,883471.0,6726680.0,13.134,6,15.0,3,7.5,2,5.0,2,5.0,1,2.5,1,2.5
TX,31,2123923.0,18279737.0,11.619,2,6.452,2,6.452,2,6.452,2,6.452,0,0.0,0,0.0
NV,21,158545.0,2035543.0,7.789,1,4.762,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
NC,50,1497453.0,7253848.0,20.644,12,24.0,10,20.0,10,20.0,10,20.0,9,18.0,8,16.0
