state,black_districts,total_districts,black_vap,total_vap,black_district_pct,black_vap_pct
VA,5,40,1151835.0,6147347.0,12.5,18.737
LA,10,40,1026233.0,3415357.0,25.0,30.048
MS,15,52,767499.0,2211742.0,28.846,34.701
NY,7,63,2292769.0,15053173.0,11.111,15.231
AL,8,35,855682.0,3334409.0,22.857,25.662
IL,8,60,1335818.0,9701453.0,13.333,13.769
NM,0,42,31019.0,1540507.0,0.0,2.014
DE,1,21,137742.0,692169.0,4.762,19.9
FL,1,40,2136430.0,14799219.0,2.5,14.436
MD,12,48,1256052.0,4420588.0,25.0,28.414
SC,9,46,939461.0,3544890.0,19.565,26.502
TN,4,33,755492.0,4850104.0,12.121,15.577
AZ,0,30,182710.0,4763003.0,0.0,3.836
GA,15,56,2097470.0,7196101.0,26.786,29.147
AR,4,35,315462.0,2204443.0,11.429,14.31
NJ,1,40,883471.0,6726680.0,2.5,13.134
TX,0,31,2123923.0,18279737.0,0.0,11.619
NV,0,21,158545.0,2035543.0,0.0,7.789
NC,8,50,1497453.0,7253848.0,16.0,20.644
