state,black_districts,total_districts,black_vap,total_vap,black_district_pct,black_vap_pct
SC,30,124,939461.0,3544890.0,24.194,26.502
TN,13,99,755492.0,4850104.0,13.131,15.577
AZ,0,30,182710.0,4763003.0,0.0,3.836
GA,47,180,2097470.0,7196101.0,26.111,29.147
NJ,1,40,883471.0,6726680.0,2.5,13.134
AR,11,100,315462.0,2204443.0,11.0,14.31
NV,0,42,158545.0,2035543.0,0.0,7.789
TX,1,150,2123923.0,18279737.0,0.667,11.619
NC,18,120,1497453.0,7253848.0,15.0,20.644
VA,12,100,1151835.0,6147347.0,12.0,18.737
MS,42,122,767499.0,2211742.0,34.426,34.701
LA,28,106,1026233.0,3415357.0,26.415,30.048
AL,25,105,829140.0,3299476.0,23.81,25.129
NY,15,150,2292769.0,15053173.0,10.0,15.231
IL,16,119,1335818.0,9701453.0,13.445,13.769
NM,0,70,31019.0,1540507.0,0.0,2.014
DE,2,41,137742.0,692169.0,4.878,19.9
FL,7,120,2136430.0,14799219.0,5.833,14.436
MD,15,68,1256052.0,4420588.0,22.059,28.414
