district,american_indian,other,pacific_islander,total,two_or_more,white,black,asian,american_indian_pct,other_pct,pacific_islander_pct,two_or_more_pct,white_pct,black_pct,asian_pct
018,2655.0,34329.0,2051.0,542924.0,17659.0,371796.0,11345.0,103089.0,0.489,6.323,0.378,3.253,68.48,2.09,18.988
019,5339.0,94029.0,2166.0,522778.0,20440.0,242948.0,17039.0,140817.0,1.021,17.986,0.414,3.91,46.472,3.259,26.936
020,6193.0,118069.0,1898.0,523748.0,21057.0,332546.0,12977.0,31008.0,1.182,22.543,0.362,4.02,63.494,2.478,5.92
021,7328.0,161294.0,474.0,475172.0,16036.0,244871.0,26549.0,18620.0,1.542,33.944,0.1,3.375,51.533,5.587,3.919
022,6252.0,90822.0,749.0,498009.0,16484.0,331148.0,15096.0,37458.0,1.255,18.237,0.15,3.31,66.494,3.031,7.522
023,7855.0,73553.0,970.0,504348.0,17169.0,350911.0,29881.0,24009.0,1.557,14.584,0.192,3.404,69.577,5.925,4.76
024,6069.0,63576.0,972.0,552445.0,18705.0,426433.0,11811.0,24879.0,1.099,11.508,0.176,3.386,77.19,2.138,4.503
025,3613.0,72326.0,892.0,502838.0,17630.0,327932.0,39526.0,40919.0,0.719,14.384,0.177,3.506,65.216,7.861,8.138
026,5160.0,85935.0,1128.0,520503.0,17414.0,365099.0,10302.0,35465.0,0.991,16.51,0.217,3.346,70.143,1.979,6.814
027,2880.0,50649.0,491.0,557804.0,15736.0,248701.0,26409.0,212938.0,0.516,9.08,0.088,2.821,44.586,4.734,38.174
028,2732.0,55827.0,560.0,583658.0,22537.0,406702.0,15477.0,79823.0,0.468,9.565,0.096,3.861,69.682,2.652,13.676
029,4329.0,156662.0,676.0,513305.0,21163.0,264149.0,22299.0,44027.0,0.843,30.52,0.132,4.123,51.46,4.344,8.577
030,2499.0,57061.0,685.0,558009.0,21550.0,382911.0,24767.0,68536.0,0.448,10.226,0.123,3.862,68.621,4.438,12.282
031,5082.0,97859.0,1633.0,500159.0,19448.0,279569.0,57542.0,39026.0,1.016,19.566,0.326,3.888,55.896,11.505,7.803
032,4921.0,121912.0,848.0,517437.0,17716.0,268464.0,15643.0,87933.0,0.951,23.561,0.164,3.424,51.883,3.023,16.994
033,1670.0,18663.0,909.0,573186.0,19013.0,438288.0,16418.0,78225.0,0.291,3.256,0.159,3.317,76.465,2.864,13.647
034,5890.0,155726.0,547.0,538000.0,22419.0,204571.0,29453.0,119394.0,1.095,28.945,0.102,4.167,38.024,5.475,22.192
035,5294.0,139735.0,1222.0,487557.0,18741.0,250011.0,37394.0,35160.0,1.086,28.66,0.251,3.844,51.278,7.67,7.211
036,6459.0,92470.0,828.0,523662.0,14524.0,373192.0,19708.0,16481.0,1.233,17.658,0.158,2.774,71.266,3.763,3.147
037,3673.0,100867.0,821.0,551006.0,23530.0,222582.0,140778.0,58755.0,0.667,18.306,0.149,4.27,40.396,25.549,10.663
038,5353.0,112913.0,1642.0,521736.0,18065.0,281014.0,20182.0,82567.0,1.026,21.642,0.315,3.462,53.861,3.868,15.825
039,3098.0,62187.0,1058.0,535665.0,16237.0,280612.0,13403.0,159070.0,0.578,11.609,0.198,3.031,52.386,2.502,29.696
040,4952.0,188476.0,788.0,477900.0,18212.0,223861.0,28104.0,13507.0,1.036,39.438,0.165,3.811,46.843,5.881,2.826
041,5126.0,121099.0,2010.0,491667.0,19470.0,261003.0,49880.0,33079.0,1.043,24.63,0.409,3.96,53.085,10.145,6.728
