district,other,american_indian,pacific_islander,white,total,two_or_more,black,asian,other_pct,american_indian_pct,pacific_islander_pct,white_pct,two_or_more_pct,black_pct,asian_pct
01,92184,4334,3336,295466,509462,19304,51070,43768,18.094,0.851,0.655,57.996,3.789,10.024,8.591
02,36576,10846,2118,421943,514435,12846,9441,20665,7.11,2.108,0.412,82.021,2.497,1.835,4.017
03,25697,3097,3637,373694,521486,17942,31772,65647,4.928,0.594,0.697,71.659,3.441,6.093,12.588
04,52948,5129,3024,319170,490160,16480,66262,27147,10.802,1.046,0.617,65.115,3.362,13.518,5.538
