district,other,american_indian,pacific_islander,white,total,two_or_more,black,asian,other_pct,american_indian_pct,pacific_islander_pct,white_pct,two_or_more_pct,black_pct,asian_pct
01,12014,1925,419,386559,509518,6848,92685,9068,2.358,0.378,0.082,75.868,1.344,18.191,1.78
02,10419,2113,372,365394,500900,6651,107724,8227,2.08,0.422,0.074,72.947,1.328,21.506,1.642
03,9328,1258,185,400067,510607,4334,91415,4020,1.827,0.246,0.036,78.351,0.849,17.903,0.787
04,15634,1448,221,377414,501402,5422,91221,10042,3.118,0.289,0.044,75.272,1.081,18.193,2.003
05,7417,2323,219,347221,498478,4712,131850,4736,1.488,0.466,0.044,69.656,0.945,26.451,0.95
06,10632,2138,276,204944,511392,5474,282876,5052,2.079,0.418,0.054,40.076,1.07,55.315,0.988
07,9031,3385,271,349439,512593,4694,141690,4083,1.762,0.66,0.053,68.171,0.916,27.642,0.797
