district,other,american_indian,pacific_islander,white,total,two_or_more,black,asian,other_pct,american_indian_pct,pacific_islander_pct,white_pct,two_or_more_pct,black_pct,asian_pct
01,6106,2428,163,444999,553023,5430,91038,2859,1.104,0.439,0.029,80.467,0.982,16.462,0.517
02,11354,2687,304,415612,553609,7104,108705,7843,2.051,0.485,0.055,75.073,1.283,19.636,1.417
03,31202,7333,2765,463571,541997,10678,13405,13043,5.757,1.353,0.51,85.53,1.97,2.473,2.406
04,12129,3707,188,427646,555814,6513,102314,3317,2.182,0.667,0.034,76.94,1.172,18.408,0.597
