district,other,american_indian,pacific_islander,white,total,two_or_more,black,asian,other_pct,american_indian_pct,pacific_islander_pct,white_pct,two_or_more_pct,black_pct,asian_pct
01,16565,1138,96,218265,533725,7101,280035,10525,3.104,0.213,0.018,40.895,1.33,52.468,1.972
02,26799,1592,131,200926,521906,7745,280897,3816,5.135,0.305,0.025,38.499,1.484,53.821,0.731
03,55669,1850,150,421001,531469,8529,24438,19832,10.475,0.348,0.028,79.215,1.605,4.598,3.732
04,161125,4340,270,285494,507602,16787,23334,16252,31.742,0.855,0.053,56.244,3.307,4.597,3.202
05,36682,1860,243,477777,582487,11383,15697,38845,6.297,0.319,0.042,82.024,1.954,2.695,6.669
06,12772,962,149,457688,530901,6047,12389,40894,2.406,0.181,0.028,86.21,1.139,2.334,7.703
07,27799,1544,203,197722,551503,9272,278114,36849,5.041,0.28,0.037,35.851,1.681,50.428,6.682
08,48470,2580,168,386595,535631,10549,22726,64543,9.049,0.482,0.031,72.176,1.969,4.243,12.05
09,21241,1485,177,412490,564552,11689,49025,68445,3.762,0.263,0.031,73.065,2.07,8.684,12.124
10,42056,2256,214,388338,525480,9740,33985,48891,8.003,0.429,0.041,73.902,1.854,6.467,9.304
11,47878,1606,146,361191,509185,9045,54551,34768,9.403,0.315,0.029,70.935,1.776,10.713,6.828
12,5101,1544,267,443537,547728,6252,85376,5651,0.931,0.282,0.049,80.978,1.141,15.587,1.032
13,5358,1325,239,477456,563122,7125,51928,19691,0.951,0.235,0.042,84.787,1.265,9.221,3.497
14,17471,1188,167,452858,509181,5454,12577,19466,3.431,0.233,0.033,88.939,1.071,2.47,3.823
15,3736,1306,130,515856,549670,4405,21350,2887,0.68,0.238,0.024,93.848,0.801,3.884,0.525
16,14606,1217,110,497582,543765,5506,17278,7466,2.686,0.224,0.02,91.507,1.013,3.177,1.373
17,15326,1683,142,462292,545865,7568,53387,5467,2.808,0.308,0.026,84.69,1.386,9.78,1.002
18,3856,1012,125,508494,547681,4523,18731,10940,0.704,0.185,0.023,92.845,0.826,3.42,1.998
ZZ,0,0,0,0,0,0,0,0,,,,,,,
