district,other,american_indian,pacific_islander,white,total,two_or_more,black,asian,other_pct,american_indian_pct,pacific_islander_pct,white_pct,two_or_more_pct,black_pct,asian_pct
01,13865,7156,279,469814,579661,8336,68694,11517,2.392,1.235,0.048,81.05,1.438,11.851,1.987
02,12670,1940,211,196391,569601,7569,336055,14765,2.224,0.341,0.037,34.479,1.329,58.998,2.592
03,6359,2642,166,410137,561690,6091,128906,7389,1.132,0.47,0.03,73.018,1.084,22.95,1.315
04,6060,4858,462,360606,566830,6999,182622,5223,1.069,0.857,0.082,63.618,1.235,32.218,0.921
05,3552,2506,149,363552,567667,4927,189106,3875,0.626,0.441,0.026,64.043,0.868,33.313,0.683
06,7928,2607,187,421357,569908,5543,120850,11436,1.391,0.457,0.033,73.934,0.973,21.205,2.007
