district,other,american_indian,pacific_islander,white,total,two_or_more,black,asian,other_pct,american_indian_pct,pacific_islander_pct,white_pct,two_or_more_pct,black_pct,asian_pct
01,33497,2769,180,384638,523448,6620,91032,4712,6.399,0.529,0.034,73.482,1.265,17.391,0.9
02,48952,2908,503,368070,518345,12147,47521,38244,9.444,0.561,0.097,71.009,2.343,9.168,7.378
03,22811,2602,295,363994,500074,10348,40905,59119,4.562,0.52,0.059,72.788,2.069,8.18,11.822
04,22950,4835,291,426927,521731,7756,54344,4628,4.399,0.927,0.056,81.829,1.487,10.416,0.887
05,47292,3690,252,372580,511695,8803,69699,9379,9.242,0.721,0.049,72.813,1.72,13.621,1.833
06,35653,2924,626,343959,502865,9914,85295,24494,7.09,0.581,0.124,68.4,1.972,16.962,4.871
07,45462,3255,308,348196,519479,14225,57704,50329,8.751,0.627,0.059,67.028,2.738,11.108,9.688
08,31402,3223,325,419568,516691,8205,43658,10310,6.078,0.624,0.063,81.203,1.588,8.45,1.995
09,65348,2750,304,160084,500927,15022,194714,62705,13.045,0.549,0.061,31.958,2.999,38.871,12.518
10,41691,3187,284,384436,513735,10288,51616,22233,8.115,0.62,0.055,74.832,2.003,10.047,4.328
11,47902,3909,283,439290,522630,8547,18741,3958,9.166,0.748,0.054,84.054,1.635,3.586,0.757
12,32264,3666,432,418261,518938,9774,38369,16172,6.217,0.706,0.083,80.599,1.883,7.394,3.116
13,36646,4508,224,433098,519246,8683,27677,8410,7.058,0.868,0.043,83.409,1.672,5.33,1.62
14,37965,3040,201,354711,523423,8722,104257,14527,7.253,0.581,0.038,67.768,1.666,19.918,2.775
15,44014,1977,155,401990,469736,7058,9005,5537,9.37,0.421,0.033,85.578,1.503,1.917,1.179
16,50436,3437,672,404365,493308,10957,16937,6504,10.224,0.697,0.136,81.97,2.221,3.433,1.318
17,42586,2888,314,387644,532324,9456,67060,22376,8.0,0.543,0.059,72.821,1.776,12.598,4.203
18,68434,2968,422,196507,505750,12236,206388,18795,13.531,0.587,0.083,38.855,2.419,40.808,3.716
19,53182,3749,304,417874,522651,9322,31060,7160,10.175,0.717,0.058,79.953,1.784,5.943,1.37
20,71010,4534,718,377839,508354,14760,25442,14051,13.969,0.892,0.141,74.326,2.903,5.005,2.764
21,33529,3307,476,468880,553018,11599,18009,17218,6.063,0.598,0.086,84.786,2.097,3.256,3.113
22,34760,2028,238,306968,494512,10187,60600,79731,7.029,0.41,0.048,62.075,2.06,12.255,16.123
23,50451,3799,312,402942,489508,9475,16183,6346,10.306,0.776,0.064,82.316,1.936,3.306,1.296
24,40206,2985,1305,364411,528185,11670,51971,55637,7.612,0.565,0.247,68.993,2.209,9.84,10.534
25,27227,3233,1195,427289,520530,9865,36839,14882,5.231,0.621,0.23,82.087,1.895,7.077,2.859
26,25222,3321,459,399745,497267,9712,33904,24904,5.072,0.668,0.092,80.388,1.953,6.818,5.008
27,47401,3159,313,421365,516473,9250,27430,7555,9.178,0.612,0.061,81.585,1.791,5.311,1.463
28,35318,2260,370,399488,472331,8085,21493,5317,7.477,0.478,0.078,84.578,1.712,4.55,1.126
29,113879,4175,246,279498,471352,15960,48991,8603,24.16,0.886,0.052,59.297,3.386,10.394,1.825
30,66047,2965,235,180830,496651,9713,227107,9754,13.298,0.597,0.047,36.41,1.956,45.728,1.964
31,33324,3379,1630,376021,501657,12116,54721,20466,6.643,0.674,0.325,74.956,2.415,10.908,4.08
32,44899,3140,207,365714,523179,11026,59516,38677,8.582,0.6,0.04,69.902,2.108,11.376,7.393
33,114745,4091,277,244853,469456,13169,81583,10738,24.442,0.871,0.059,52.157,2.805,17.378,2.287
34,45309,1990,144,414734,480232,7062,7567,3426,9.435,0.414,0.03,86.361,1.471,1.576,0.713
35,86884,5471,486,337648,502769,14468,49487,8325,17.281,1.088,0.097,67.158,2.878,9.843,1.656
36,36146,3371,255,411171,517267,8026,47098,11200,6.988,0.652,0.049,79.489,1.552,9.105,2.165
