district,other,american_indian,pacific_islander,white,total,two_or_more,black,asian,other_pct,american_indian_pct,pacific_islander_pct,white_pct,two_or_more_pct,black_pct,asian_pct
01,6925,4545,832,435040,541696,11707,68713,13934,1.278,0.839,0.154,80.311,2.161,12.685,2.572
02,7089,2840,370,394726,552670,8743,128922,9980,1.283,0.514,0.067,71.422,1.582,23.327,1.806
03,9366,2155,350,442704,550192,8671,70481,16465,1.702,0.392,0.064,80.464,1.576,12.81,2.993
04,9770,2182,497,428479,541497,10097,66857,23615,1.804,0.403,0.092,79.129,1.865,12.347,4.361
05,18871,2223,424,217932,515149,10827,252482,12390,3.663,0.432,0.082,42.305,2.102,49.011,2.405
06,8356,1809,303,485726,560885,6668,48648,9375,1.49,0.323,0.054,86.6,1.189,8.673,1.671
07,20301,1870,321,447405,545013,11196,45243,18677,3.725,0.343,0.059,82.091,2.054,8.301,3.427
08,10232,2042,451,478466,559112,8886,48171,10864,1.83,0.365,0.081,85.576,1.589,8.616,1.943
09,49130,2388,553,369490,518645,16555,58279,22250,9.473,0.46,0.107,71.241,3.192,11.237,4.29
10,20815,2134,494,432614,545033,10651,57241,21084,3.819,0.392,0.091,79.374,1.954,10.502,3.868
11,9283,2085,220,506641,574232,6948,42369,6686,1.617,0.363,0.038,88.229,1.21,7.378,1.164
12,10598,1698,280,492637,548058,7964,21536,13345,1.934,0.31,0.051,89.888,1.453,3.93,2.435
13,10556,1864,510,511136,578166,8041,28356,17703,1.826,0.322,0.088,88.406,1.391,4.904,3.062
14,23974,2130,369,349637,535709,13205,131799,14595,4.475,0.398,0.069,65.266,2.465,24.603,2.724
15,20729,2034,338,414305,528370,10236,63631,17097,3.923,0.385,0.064,78.412,1.937,12.043,3.236
16,15693,1461,252,508778,571804,6312,31511,7797,2.744,0.256,0.044,88.978,1.104,5.511,1.364
17,27138,2486,269,463772,552440,7518,44120,7137,4.912,0.45,0.049,83.95,1.361,7.986,1.292
18,17060,2016,305,460735,556783,8092,58738,9837,3.064,0.362,0.055,82.749,1.453,10.55,1.767
19,21806,1701,303,495775,568936,7330,34773,7248,3.833,0.299,0.053,87.141,1.288,6.112,1.274
20,23644,2125,351,219904,525932,12738,256373,10797,4.496,0.404,0.067,41.812,2.422,48.746,2.053
21,18801,1176,221,438573,544654,10446,57402,18035,3.452,0.216,0.041,80.523,1.918,10.539,3.311
22,19062,2548,319,478694,579627,10612,56464,11928,3.289,0.44,0.055,82.587,1.831,9.741,2.058
23,19158,1697,277,444337,552468,13276,55875,17848,3.468,0.307,0.05,80.428,2.403,10.114,3.231
24,19651,1471,248,199122,525767,15626,280065,9584,3.738,0.28,0.047,37.873,2.972,53.268,1.823
25,25138,1085,113,450263,534871,10661,38374,9237,4.7,0.203,0.021,84.182,1.993,7.174,1.727
26,15013,1032,208,453544,541358,11145,50735,9681,2.773,0.191,0.038,83.779,2.059,9.372,1.788
27,17062,991,121,472634,550152,11403,39272,8669,3.101,0.18,0.022,85.91,2.073,7.138,1.576
