district,other,american_indian,pacific_islander,white,total,two_or_more,black,asian,other_pct,american_indian_pct,pacific_islander_pct,white_pct,two_or_more_pct,black_pct,asian_pct
01,15651,2474,510,405154,543139,11326,89954,18070,2.882,0.456,0.094,74.595,2.085,16.562,3.327
02,10907,2242,805,378227,546186,13137,112764,28104,1.997,0.41,0.147,69.249,2.405,20.646,5.145
03,12145,3066,648,220504,579436,12546,318238,12289,2.096,0.529,0.112,38.055,2.165,54.922,2.121
04,9254,2130,378,346507,547486,8011,169944,11262,1.69,0.389,0.069,63.291,1.463,31.041,2.057
05,6284,1453,196,436040,574341,5996,115306,9066,1.094,0.253,0.034,75.92,1.044,20.076,1.579
06,8790,1646,216,488611,572702,6643,58908,7888,1.535,0.287,0.038,85.317,1.16,10.286,1.377
07,10088,1753,269,428788,549562,7709,79050,21905,1.836,0.319,0.049,78.024,1.403,14.384,3.986
08,41639,2545,532,375269,580212,18274,77553,64400,7.177,0.439,0.092,64.678,3.15,13.366,11.099
09,3840,1088,122,538799,584877,4856,29231,6941,0.657,0.186,0.021,92.122,0.83,4.998,1.187
10,22792,1412,360,387308,520811,12027,35488,61424,4.376,0.271,0.069,74.366,2.309,6.814,11.794
11,33642,2113,515,334137,548595,17677,65399,95112,6.132,0.385,0.094,60.908,3.222,11.921,17.337
