district,other,american_indian,pacific_islander,white,total,two_or_more,black,asian,other_pct,american_indian_pct,pacific_islander_pct,white_pct,two_or_more_pct,black_pct,asian_pct
01,21894,4710,248,227424,561408,7099,291758,8275,3.9,0.839,0.044,40.51,1.264,51.969,1.474
02,22102,6130,684,398237,537940,9242,85603,15942,4.109,1.14,0.127,74.03,1.718,15.913,2.964
03,12772,2983,661,436792,571220,8825,101918,7269,2.236,0.522,0.116,76.467,1.545,17.842,1.273
04,26524,3286,667,319875,564911,11987,173534,29038,4.695,0.582,0.118,56.624,2.122,30.719,5.14
05,20262,1827,208,464886,567591,5981,66850,7577,3.57,0.322,0.037,81.905,1.054,11.778,1.335
06,12616,2307,172,456455,569577,6199,81836,9992,2.215,0.405,0.03,80.139,1.088,14.368,1.754
07,25389,10681,297,418599,559822,6112,95316,3428,4.535,1.908,0.053,74.774,1.092,17.026,0.612
08,20870,38447,207,377573,547085,6085,98008,5895,3.815,7.028,0.038,69.015,1.112,17.915,1.078
09,14795,1856,220,432547,540876,7222,64170,20066,2.735,0.343,0.041,79.972,1.335,11.864,3.71
10,12034,1924,242,478236,566474,5901,61361,6776,2.124,0.34,0.043,84.423,1.042,10.832,1.196
11,12194,7624,429,532632,581827,6236,17532,5180,2.096,1.31,0.074,91.545,1.072,3.013,0.89
12,37590,3067,413,200579,544436,10739,269987,22061,6.904,0.563,0.076,36.842,1.972,49.59,4.052
13,17487,2269,198,411921,540681,6641,89580,12585,3.234,0.42,0.037,76.186,1.228,16.568,2.328
