district,other,american_indian,pacific_islander,white,total,two_or_more,black,asian,other_pct,american_indian_pct,pacific_islander_pct,white_pct,two_or_more_pct,black_pct,asian_pct
01,10382,1881,650,342421,518743,7721,147082,8606,2.001,0.363,0.125,66.01,1.488,28.354,1.659
02,10261,1587,557,240170,516392,5692,252570,5555,1.987,0.307,0.108,46.509,1.102,48.911,1.076
03,9385,1573,307,373597,511518,6159,112315,8182,1.835,0.308,0.06,73.037,1.204,21.957,1.6
04,18933,1494,250,172439,503508,9033,278767,22592,3.76,0.297,0.05,34.248,1.794,55.365,4.487
05,17395,1522,211,184790,541900,9746,306497,21739,3.21,0.281,0.039,34.1,1.798,56.56,4.012
06,26698,1666,304,368034,519046,10528,64149,47667,5.144,0.321,0.059,70.906,2.028,12.359,9.184
07,35275,2011,238,300153,489868,10284,83770,58137,7.201,0.411,0.049,61.272,2.099,17.101,11.868
08,12564,1616,347,345116,518240,5679,145966,6952,2.424,0.312,0.067,66.594,1.096,28.166,1.341
09,23851,1823,263,450226,520856,5884,33384,5425,4.579,0.35,0.05,86.44,1.13,6.409,1.042
10,8632,1194,215,371380,521343,5625,123759,10538,1.656,0.229,0.041,71.235,1.079,23.738,2.021
11,20140,1788,277,390425,512598,8609,76732,14627,3.929,0.349,0.054,76.166,1.679,14.969,2.854
12,11839,1528,545,319425,518253,6463,169848,8605,2.284,0.295,0.105,61.635,1.247,32.773,1.66
13,20243,1603,278,189644,495652,8885,262130,12869,4.084,0.323,0.056,38.262,1.793,52.886,2.596
14,20905,1767,309,433901,508184,6264,40501,4537,4.114,0.348,0.061,85.383,1.233,7.97,0.893
