district,total,american_indian,white,asian,black,two_or_more,other,pacific_islander,american_indian_pct,white_pct,asian_pct,black_pct,two_or_more_pct,other_pct,pacific_islander_pct
001,89510,629,50057,8054,16052,3775,10032,911,0.703,55.923,8.998,17.933,4.217,11.208,1.018
002,86812,870,40997,3096,10340,3512,27620,377,1.002,47.225,3.566,11.911,4.046,31.816,0.434
003,95366,787,56161,6186,9937,3621,18081,593,0.825,58.89,6.487,10.42,3.797,18.96,0.622
004,88194,730,36339,3878,23922,3406,19382,537,0.828,41.203,4.397,27.124,3.862,21.977,0.609
005,100240,624,75422,8990,5444,3539,5410,811,0.623,75.241,8.968,5.431,3.531,5.397,0.809
006,100398,578,73587,6975,9207,3061,6329,661,0.576,73.295,6.947,9.171,3.049,6.304,0.658
007,99287,793,64489,7544,8367,4020,13280,794,0.799,64.952,7.598,8.427,4.049,13.375,0.8
008,99880,473,71616,12404,7009,3315,4534,529,0.474,71.702,12.419,7.017,3.319,4.539,0.53
009,96806,442,58445,21176,7000,3729,5222,792,0.457,60.373,21.875,7.231,3.852,5.394,0.818
010,101274,986,59807,7588,10336,3942,17969,646,0.974,59.055,7.493,10.206,3.892,17.743,0.638
011,103154,722,60285,17948,10264,3630,9474,831,0.7,58.442,17.399,9.95,3.519,9.184,0.806
012,101033,824,82784,5131,4370,2577,4948,399,0.816,81.938,5.079,4.325,2.551,4.897,0.395
013,99015,1717,70797,6333,3389,3247,12740,792,1.734,71.501,6.396,3.423,3.279,12.867,0.8
014,95290,3449,77953,3189,2004,2259,6097,339,3.619,81.806,3.347,2.103,2.371,6.398,0.356
015,99134,1053,82174,5211,1741,2456,6001,498,1.062,82.892,5.257,1.756,2.477,6.053,0.502
016,100633,1378,85931,3865,1581,2041,5569,268,1.369,85.39,3.841,1.571,2.028,5.534,0.266
017,98476,2379,87293,1800,687,2358,3763,196,2.416,88.644,1.828,0.698,2.394,3.821,0.199
018,93560,560,71714,6030,8149,3044,3559,504,0.599,76.65,6.445,8.71,3.254,3.804,0.539
019,97392,3013,80799,1635,3781,2208,5687,269,3.094,82.963,1.679,3.882,2.267,5.839,0.276
020,97583,615,70425,11888,5684,3516,4706,749,0.63,72.169,12.182,5.825,3.603,4.823,0.768
021,92506,784,53198,8306,9281,3316,17002,619,0.848,57.508,8.979,10.033,3.585,18.379,0.669
