district,total,american_indian,white,asian,black,two_or_more,other,pacific_islander,american_indian_pct,white_pct,asian_pct,black_pct,two_or_more_pct,other_pct,pacific_islander_pct
001,99062,147,91407,593,5958,753,178,26,0.148,92.273,0.599,6.014,0.76,0.18,0.026
002,99594,224,85060,1378,10504,1368,1017,43,0.225,85.407,1.384,10.547,1.374,1.021,0.043
003,88819,337,66886,4446,11469,1834,3784,63,0.379,75.306,5.006,12.913,2.065,4.26,0.071
004,94519,230,87534,2117,2796,1048,769,25,0.243,92.61,2.24,2.958,1.109,0.814,0.026
005,97265,181,91681,1145,2764,791,674,29,0.186,94.259,1.177,2.842,0.813,0.693,0.03
006,94699,658,76082,1624,13212,1513,1584,26,0.695,80.341,1.715,13.952,1.598,1.673,0.027
007,98560,278,87094,2637,6947,1009,575,20,0.282,88.366,2.676,7.048,1.024,0.583,0.02
008,97813,251,69605,5581,19744,1410,1185,37,0.257,71.161,5.706,20.185,1.442,1.211,0.038
009,93735,182,72186,12996,6218,1320,802,31,0.194,77.011,13.865,6.634,1.408,0.856,0.033
010,88049,247,32680,3444,48437,1684,1518,39,0.281,37.116,3.911,55.011,1.913,1.724,0.044
011,92057,163,62338,6485,20016,1474,1532,49,0.177,67.717,7.045,21.743,1.601,1.664,0.053
012,93398,266,64265,8210,16716,2096,1800,45,0.285,68.808,8.79,17.898,2.244,1.927,0.048
013,89712,317,53007,12048,19635,2353,2319,33,0.353,59.086,13.43,21.887,2.623,2.585,0.037
014,94402,288,55707,11812,21034,2256,3256,49,0.305,59.01,12.512,22.281,2.39,3.449,0.052
015,87692,176,55392,19603,8721,2022,1746,32,0.201,63.167,22.354,9.945,2.306,1.991,0.036
016,94057,126,77389,10144,3663,1749,928,58,0.134,82.279,10.785,3.894,1.86,0.987,0.062
017,98354,354,56334,18706,12295,3140,7474,51,0.36,57.277,19.019,12.501,3.193,7.599,0.052
018,91707,474,56020,9783,12129,3005,10234,62,0.517,61.086,10.668,13.226,3.277,11.159,0.068
019,93727,373,52991,11962,17373,2869,8112,47,0.398,56.538,12.763,18.536,3.061,8.655,0.05
020,91148,415,41266,8064,28766,3510,9050,77,0.455,45.274,8.847,31.56,3.851,9.929,0.084
021,103124,434,53340,10496,28781,3086,6916,71,0.421,51.724,10.178,27.909,2.993,6.706,0.069
022,94607,491,24846,5409,48337,2697,12755,72,0.519,26.262,5.717,51.092,2.851,13.482,0.076
023,88546,262,28499,3284,52591,2072,1793,45,0.296,32.186,3.709,59.394,2.34,2.025,0.051
024,87647,304,6774,2037,74354,1706,2444,28,0.347,7.729,2.324,84.833,1.946,2.788,0.032
025,87501,338,7665,1334,74573,1718,1833,40,0.386,8.76,1.525,85.225,1.963,2.095,0.046
026,90108,276,10079,4228,70404,2020,3051,50,0.306,11.185,4.692,78.133,2.242,3.386,0.055
027,95341,446,56330,1878,33900,1667,1073,47,0.468,59.083,1.97,35.557,1.748,1.125,0.049
028,93755,644,50094,2970,36681,2190,1099,77,0.687,53.431,3.168,39.124,2.336,1.172,0.082
029,93702,365,75376,2204,13201,1616,866,74,0.39,80.442,2.352,14.088,1.725,0.924,0.079
030,98668,291,79267,1827,12365,1664,3208,46,0.295,80.337,1.852,12.532,1.686,3.251,0.047
031,97736,354,81171,2590,10303,1473,1766,79,0.362,83.051,2.65,10.542,1.507,1.807,0.081
032,100661,349,59564,5908,29408,2530,2747,155,0.347,59.173,5.869,29.215,2.513,2.729,0.154
033,95574,205,84239,2914,5962,1381,801,72,0.214,88.14,3.049,6.238,1.445,0.838,0.075
034,90385,272,67179,2542,17375,1701,1192,124,0.301,74.325,2.812,19.223,1.882,1.319,0.137
035,95829,262,88585,1295,4154,1025,481,27,0.273,92.441,1.351,4.335,1.07,0.502,0.028
036,98094,292,85010,943,8976,1081,1717,75,0.298,86.662,0.961,9.15,1.102,1.75,0.076
037,97959,242,70394,1209,23105,1147,1811,51,0.247,71.861,1.234,23.586,1.171,1.849,0.052
038,105294,279,80098,1814,20587,1254,1239,23,0.265,76.071,1.723,19.552,1.191,1.177,0.022
039,87160,377,43461,15018,18177,2946,7133,48,0.433,49.863,17.23,20.855,3.38,8.184,0.055
040,90713,284,25930,2826,59269,1610,752,42,0.313,28.585,3.115,65.337,1.775,0.829,0.046
041,90803,239,25338,1769,61382,1224,801,50,0.263,27.904,1.948,67.599,1.348,0.882,0.055
042,99045,141,84032,5245,7544,1306,734,43,0.142,84.842,5.296,7.617,1.319,0.741,0.043
043,93610,266,28415,4194,58221,1642,835,37,0.284,30.355,4.48,62.195,1.754,0.892,0.04
044,89658,290,24694,3747,58195,1559,1135,38,0.323,27.542,4.179,64.908,1.739,1.266,0.042
045,86985,293,21189,1428,61862,1356,836,21,0.337,24.359,1.642,71.118,1.559,0.961,0.024
046,95930,594,56203,2588,29602,1881,4989,73,0.619,58.588,2.698,30.858,1.961,5.201,0.076
047,93784,961,16502,2539,48346,3865,21430,141,1.025,17.596,2.707,51.55,4.121,22.85,0.15
State Senate Districts not defined,0,0,0,0,0,0,0,0,,,,,,,
