district,total,american_indian,white,asian,black,two_or_more,other,pacific_islander,american_indian_pct,white_pct,asian_pct,black_pct,two_or_more_pct,other_pct,pacific_islander_pct
001,78331,160,68890,1454,5895,761,1161,10,0.204,87.947,1.856,7.526,0.972,1.482,0.013
002,75172,161,68485,503,4378,665,971,9,0.214,91.104,0.669,5.824,0.885,1.292,0.012
003,77907,197,67804,864,7664,612,743,23,0.253,87.032,1.109,9.837,0.786,0.954,0.03
004,75149,183,58015,303,15122,642,875,9,0.244,77.2,0.403,20.123,0.854,1.164,0.012
005,76920,202,67902,701,5701,706,1689,19,0.263,88.276,0.911,7.412,0.918,2.196,0.025
006,79273,313,64241,1585,7654,1027,4380,73,0.395,81.038,1.999,9.655,1.296,5.525,0.092
007,72677,264,35679,552,31504,962,3683,33,0.363,49.093,0.76,43.348,1.324,5.068,0.045
008,77091,189,62552,1785,10129,875,1512,49,0.245,81.14,2.315,13.139,1.135,1.961,0.064
009,73917,183,56270,290,15330,572,1245,27,0.248,76.126,0.392,20.739,0.774,1.684,0.037
010,74079,202,45588,365,24670,594,2587,73,0.273,61.54,0.493,33.302,0.802,3.492,0.099
011,76254,232,50518,1564,20866,803,2251,20,0.304,66.25,2.051,27.364,1.053,2.952,0.026
012,76376,175,59471,3012,10932,735,2027,24,0.229,77.866,3.944,14.313,0.962,2.654,0.031
013,79224,182,61100,1070,15329,589,937,17,0.23,77.123,1.351,19.349,0.743,1.183,0.021
014,79379,286,64987,601,11750,687,1046,22,0.36,81.869,0.757,14.802,0.865,1.318,0.028
015,79671,505,61938,1362,13161,935,1709,61,0.634,77.742,1.71,16.519,1.174,2.145,0.077
016,78272,242,61824,1092,12949,666,1473,26,0.309,78.986,1.395,16.544,0.851,1.882,0.033
017,79388,678,44788,253,32325,733,601,10,0.854,56.417,0.319,40.718,0.923,0.757,0.013
018,76497,205,60287,1000,12970,562,1429,44,0.268,78.81,1.307,16.955,0.735,1.868,0.058
019,76967,216,24203,1095,49181,1064,1152,56,0.281,31.446,1.423,63.899,1.382,1.497,0.073
020,80090,232,60850,2253,14872,1099,745,39,0.29,75.977,2.813,18.569,1.372,0.93,0.049
021,80422,306,34511,1252,41596,1372,1247,138,0.38,42.912,1.557,51.722,1.706,1.551,0.172
022,71077,240,39723,2448,25272,1216,2080,98,0.338,55.887,3.444,35.556,1.711,2.926,0.138
023,72543,373,61299,621,7817,876,1528,29,0.514,84.5,0.856,10.776,1.208,2.106,0.04
024,76054,317,58878,875,13656,904,1407,17,0.417,77.416,1.15,17.956,1.189,1.85,0.022
025,74467,260,53779,425,17268,732,1972,31,0.349,72.219,0.571,23.189,0.983,2.648,0.042
026,74644,399,48501,676,21336,983,2715,34,0.535,64.976,0.906,28.584,1.317,3.637,0.046
027,73841,296,49713,239,21968,532,1077,16,0.401,67.324,0.324,29.75,0.72,1.459,0.022
028,76907,401,58889,419,15061,730,1374,33,0.521,76.572,0.545,19.583,0.949,1.787,0.043
029,74407,953,37562,239,34344,617,681,11,1.281,50.482,0.321,46.157,0.829,0.915,0.015
030,71836,926,30554,238,38844,560,703,11,1.289,42.533,0.331,54.073,0.78,0.979,0.015
031,74505,257,51786,1065,20166,531,686,14,0.345,69.507,1.429,27.067,0.713,0.921,0.019
032,72759,233,30671,255,40146,457,989,8,0.32,42.154,0.35,55.177,0.628,1.359,0.011
033,82169,358,67571,1184,8579,1119,3235,123,0.436,82.234,1.441,10.441,1.362,3.937,0.15
034,85279,270,74078,853,8002,747,1255,74,0.317,86.865,1.0,9.383,0.876,1.472,0.087
035,72035,280,44412,1211,24063,1010,985,74,0.389,61.653,1.681,33.405,1.402,1.367,0.103
036,73457,216,33673,386,37665,550,929,38,0.294,45.84,0.525,51.275,0.749,1.265,0.052
037,75381,352,57213,1221,14327,928,1268,72,0.467,75.898,1.62,19.006,1.231,1.682,0.096
038,74204,413,55122,1241,14778,1280,1290,80,0.557,74.284,1.672,19.915,1.725,1.738,0.108
039,74263,684,32838,201,39340,633,553,14,0.921,44.219,0.271,52.974,0.852,0.745,0.019
040,78966,322,36656,719,39929,672,652,16,0.408,46.42,0.911,50.565,0.851,0.826,0.02
041,84592,206,66364,1576,14348,1000,1017,81,0.244,78.452,1.863,16.961,1.182,1.202,0.096
042,80920,318,32859,1130,41347,1177,3990,99,0.393,40.607,1.396,51.096,1.455,4.931,0.122
043,85880,219,69909,999,12905,900,903,45,0.255,81.403,1.163,15.027,1.048,1.051,0.052
044,77581,482,54275,2737,15814,1684,2506,83,0.621,69.959,3.528,20.384,2.171,3.23,0.107
045,79100,327,35314,379,39773,765,2498,44,0.413,44.645,0.479,50.282,0.967,3.158,0.056
046,84967,175,69496,935,8735,871,4719,36,0.206,81.792,1.1,10.28,1.025,5.554,0.042
