district,total,american_indian,white,asian,black,two_or_more,other,pacific_islander,american_indian_pct,white_pct,asian_pct,black_pct,two_or_more_pct,other_pct,pacific_islander_pct
001,372010,2640,307181,7788,41123,7601,5201,476,0.71,82.573,2.093,11.054,2.043,1.398,0.128
002,367651,3380,288086,9218,55019,7639,3760,549,0.919,78.359,2.507,14.965,2.078,1.023,0.149
003,378559,1501,248818,7005,110082,5454,5522,177,0.397,65.728,1.85,29.079,1.441,1.459,0.047
004,371414,1441,303745,16604,35997,6829,6477,321,0.388,81.781,4.47,9.692,1.839,1.744,0.086
005,378398,1485,328967,3644,34021,4480,5659,142,0.392,86.937,0.963,8.991,1.184,1.496,0.038
006,370931,1188,316098,6362,37897,4434,4725,227,0.32,85.217,1.715,10.217,1.195,1.274,0.061
007,366631,1295,282602,15685,54071,6853,5842,283,0.353,77.081,4.278,14.748,1.869,1.593,0.077
008,380659,1469,322349,5324,36386,5374,9602,155,0.386,84.682,1.399,9.559,1.412,2.522,0.041
009,346730,1492,173883,11579,146246,6392,6810,328,0.43,50.149,3.339,42.179,1.844,1.964,0.095
010,361957,1218,292374,12449,36283,7294,12127,212,0.337,80.776,3.439,10.024,2.015,3.35,0.059
011,378532,1470,327155,5740,29107,5153,9716,191,0.388,86.427,1.516,7.689,1.361,2.567,0.05
012,345434,1468,175369,14069,123027,9570,21558,373,0.425,50.768,4.073,35.615,2.77,6.241,0.108
013,377103,1358,312093,14024,29331,7689,12265,343,0.36,82.761,3.719,7.778,2.039,3.252,0.091
014,342997,1771,230238,14836,43969,12386,39395,402,0.516,67.125,4.325,12.819,3.611,11.486,0.117
015,369219,1403,293899,12777,41869,6305,12658,308,0.38,79.6,3.461,11.34,1.708,3.428,0.083
016,373964,1304,317863,8036,32674,6324,7474,289,0.349,84.998,2.149,8.737,1.691,1.999,0.077
017,366173,1100,311236,13238,22827,7063,10487,222,0.3,84.997,3.615,6.234,1.929,2.864,0.061
018,378644,1561,340782,4158,19062,5129,7775,177,0.412,90.001,1.098,5.034,1.355,2.053,0.047
019,348866,1449,186566,6588,125843,8738,19445,237,0.415,53.478,1.888,36.072,2.505,5.574,0.068
020,388385,1163,345643,8736,20145,5158,7204,336,0.299,88.995,2.249,5.187,1.328,1.855,0.087
021,363111,1756,293124,5577,38307,5888,18254,205,0.484,80.726,1.536,10.55,1.622,5.027,0.056
022,388550,1254,342997,14750,17240,6083,5912,314,0.323,88.276,3.796,4.437,1.566,1.522,0.081
023,374057,1071,326947,4467,21140,5120,15144,168,0.286,87.406,1.194,5.652,1.369,4.049,0.045
024,350005,1352,270034,14404,40652,7672,15619,272,0.386,77.151,4.115,11.615,2.192,4.463,0.078
025,364499,635,299236,10749,39377,5366,8991,145,0.174,82.095,2.949,10.803,1.472,2.467,0.04
026,376800,1479,323894,5417,21796,4561,19481,172,0.393,85.959,1.438,5.785,1.21,5.17,0.046
027,361835,2917,230436,7369,89587,9136,22074,316,0.806,63.685,2.037,24.759,2.525,6.101,0.087
028,393170,905,362403,4575,15338,3918,5899,132,0.23,92.175,1.164,3.901,0.997,1.5,0.034
029,357429,707,276678,15026,44073,8315,12480,150,0.198,77.408,4.204,12.331,2.326,3.492,0.042
030,386031,1220,338345,4963,23945,4905,12460,193,0.316,87.647,1.286,6.203,1.271,3.228,0.05
031,357991,958,153360,7360,174265,8938,12897,213,0.268,42.839,2.056,48.679,2.497,3.603,0.059
032,384299,1395,323064,4782,38262,4910,11710,176,0.363,84.066,1.244,9.956,1.278,3.047,0.046
033,368047,1201,281832,15101,48255,8847,12628,183,0.326,76.575,4.103,13.111,2.404,3.431,0.05
034,403606,729,348037,7331,34817,5191,7338,163,0.181,86.232,1.816,8.626,1.286,1.818,0.04
035,383691,756,320936,9037,32544,8682,11585,151,0.197,83.644,2.355,8.482,2.263,3.019,0.039
036,350262,980,119738,7465,197989,10813,13061,216,0.28,34.185,2.131,56.526,3.087,3.729,0.062
037,370344,463,328102,7333,17099,7487,9791,69,0.125,88.594,1.98,4.617,2.022,2.644,0.019
038,366607,462,315562,3756,28837,6881,11068,41,0.126,86.076,1.025,7.866,1.877,3.019,0.011
039,347344,1563,192294,3335,119239,8618,22084,211,0.45,55.361,0.96,34.329,2.481,6.358,0.061
040,387284,829,341103,5201,18689,8358,13043,61,0.214,88.076,1.343,4.826,2.158,3.368,0.016
