district,total,american_indian,white,asian,black,two_or_more,other,pacific_islander,american_indian_pct,white_pct,asian_pct,black_pct,two_or_more_pct,other_pct,pacific_islander_pct
001,147468,451,138084,649,3544,1498,3162,80,0.306,93.637,0.44,2.403,1.016,2.144,0.054
002,148226,522,139517,1166,2883,1500,2599,39,0.352,94.125,0.787,1.945,1.012,1.753,0.026
003,149240,402,140397,1300,4277,1439,1389,36,0.269,94.075,0.871,2.866,0.964,0.931,0.024
004,148838,399,142968,711,2892,1133,705,30,0.268,96.056,0.478,1.943,0.761,0.474,0.02
005,143550,454,132126,1215,5742,1491,2391,131,0.316,92.042,0.846,4.0,1.039,1.666,0.091
006,144324,357,125167,2262,13929,1521,1040,48,0.247,86.726,1.567,9.651,1.054,0.721,0.033
007,147215,433,128497,3594,10401,1916,2269,105,0.294,87.285,2.441,7.065,1.301,1.541,0.071
008,147107,390,142290,477,1765,1293,860,32,0.265,96.726,0.324,1.2,0.879,0.585,0.022
009,144071,585,133349,1016,4962,1788,2330,41,0.406,92.558,0.705,3.444,1.241,1.617,0.028
010,146275,568,103456,2094,35236,1707,3069,145,0.388,70.727,1.432,24.089,1.167,2.098,0.099
011,146872,411,126062,2499,14749,1448,1635,68,0.28,85.831,1.701,10.042,0.986,1.113,0.046
012,150886,477,145226,475,2506,1392,763,47,0.316,96.249,0.315,1.661,0.923,0.506,0.031
013,139136,494,110907,4055,17187,1965,4448,80,0.355,79.711,2.914,12.353,1.412,3.197,0.057
014,141336,510,121416,2105,11873,1622,3729,81,0.361,85.906,1.489,8.401,1.148,2.638,0.057
015,158493,565,151602,953,2076,1377,1845,75,0.356,95.652,0.601,1.31,0.869,1.164,0.047
016,149963,538,140028,836,4716,1465,2331,49,0.359,93.375,0.557,3.145,0.977,1.554,0.033
017,147988,497,136952,994,6058,1392,2055,40,0.336,92.543,0.672,4.094,0.941,1.389,0.027
018,147882,469,131050,1721,10749,1519,2287,87,0.317,88.618,1.164,7.269,1.027,1.547,0.059
019,151323,504,59828,3004,77599,2821,7460,107,0.333,39.537,1.985,51.28,1.864,4.93,0.071
020,158854,454,134144,4558,14771,2033,2823,71,0.286,84.445,2.869,9.298,1.28,1.777,0.045
021,158181,625,108473,6476,30358,3282,8857,110,0.395,68.575,4.094,19.192,2.075,5.599,0.07
022,140829,824,107156,3045,23145,3327,2865,467,0.585,76.089,2.162,16.435,2.362,2.034,0.332
023,129553,285,117068,3595,5591,1212,1743,59,0.22,90.363,2.775,4.316,0.936,1.345,0.046
024,150492,420,131525,591,15691,1155,1073,37,0.279,87.397,0.393,10.426,0.767,0.713,0.025
025,149196,578,137736,559,6906,1335,2025,57,0.387,92.319,0.375,4.629,0.895,1.357,0.038
026,148711,392,117512,473,28155,1112,1048,19,0.264,79.02,0.318,18.933,0.748,0.705,0.013
027,142049,396,98100,864,39301,1167,2183,38,0.279,69.061,0.608,27.667,0.822,1.537,0.027
028,144694,509,129311,602,11353,1460,1416,43,0.352,89.369,0.416,7.846,1.009,0.979,0.03
029,149774,412,37296,1689,107167,1415,1760,35,0.275,24.902,1.128,71.552,0.945,1.175,0.023
030,141870,347,41886,1847,90161,1590,5972,67,0.245,29.524,1.302,63.552,1.121,4.209,0.047
031,149886,341,108527,5980,30105,1677,3194,62,0.228,72.406,3.99,20.085,1.119,2.131,0.041
032,144039,389,114731,4100,22298,1364,1090,67,0.27,79.653,2.846,15.481,0.947,0.757,0.047
033,141783,357,32410,2389,97346,1429,7719,133,0.252,22.859,1.685,68.658,1.008,5.444,0.094
