district,total,american_indian,white,asian,black,two_or_more,other,pacific_islander,american_indian_pct,white_pct,asian_pct,black_pct,two_or_more_pct,other_pct,pacific_islander_pct
001,34161,7846,21688,209,321,972,3098,27,22.968,63.488,0.612,0.94,2.845,9.069,0.079
002,34437,3721,26625,134,152,835,2956,14,10.805,77.315,0.389,0.441,2.425,8.584,0.041
003,33310,24706,5739,184,158,651,1857,15,74.17,17.229,0.552,0.474,1.954,5.575,0.045
004,34289,22973,8776,299,184,607,1438,12,66.998,25.594,0.872,0.537,1.77,4.194,0.035
005,37350,2490,24848,803,203,918,8069,19,6.667,66.527,2.15,0.544,2.458,21.604,0.051
006,38895,2400,26454,316,164,1622,7920,19,6.17,68.014,0.812,0.422,4.17,20.363,0.049
007,36244,453,28309,470,1410,953,4619,30,1.25,78.107,1.297,3.89,2.629,12.744,0.083
008,38124,653,28589,306,462,1197,6880,37,1.713,74.99,0.803,1.212,3.14,18.046,0.097
009,38093,1186,30566,664,680,879,4092,26,3.113,80.24,1.743,1.785,2.308,10.742,0.068
010,36229,1803,27013,795,1070,1205,4300,43,4.977,74.562,2.194,2.953,3.326,11.869,0.119
011,32218,1145,18860,247,896,1144,9906,20,3.554,58.539,0.767,2.781,3.551,30.747,0.062
012,39179,1841,25131,785,1340,1700,8348,34,4.699,64.144,2.004,3.42,4.339,21.307,0.087
013,38129,1399,27835,499,508,1313,6546,29,3.669,73.002,1.309,1.332,3.444,17.168,0.076
014,34611,1297,20389,229,941,1197,10533,25,3.747,58.909,0.662,2.719,3.458,30.433,0.072
015,39386,2251,28832,985,1279,1415,4577,47,5.715,73.204,2.501,3.247,3.593,11.621,0.119
016,39644,1736,30299,1180,1449,1484,3447,49,4.379,76.428,2.976,3.655,3.743,8.695,0.124
017,35228,2543,22022,1207,1844,1526,6023,63,7.219,62.513,3.426,5.234,4.332,17.097,0.179
018,39982,1241,33223,1119,1064,1184,2103,48,3.104,83.095,2.799,2.661,2.961,5.26,0.12
019,38798,704,32861,746,464,974,3018,31,1.815,84.698,1.923,1.196,2.51,7.779,0.08
020,39827,1158,32961,1304,1134,1087,2156,27,2.908,82.76,3.274,2.847,2.729,5.413,0.068
021,37141,800,30906,1928,599,859,2018,31,2.154,83.213,5.191,1.613,2.313,5.433,0.083
022,32353,21200,8174,187,282,504,1990,16,65.527,25.265,0.578,0.872,1.558,6.151,0.049
023,34261,1098,26316,712,1010,1186,3892,47,3.205,76.81,2.078,2.948,3.462,11.36,0.137
024,37470,873,27658,475,397,1328,6702,37,2.33,73.814,1.268,1.06,3.544,17.886,0.099
025,42880,785,37765,563,304,1004,2445,14,1.831,88.071,1.313,0.709,2.341,5.702,0.033
026,34514,1566,21286,576,1105,1368,8568,45,4.537,61.674,1.669,3.202,3.964,24.825,0.13
027,35390,416,27432,395,1181,952,4996,18,1.175,77.513,1.116,3.337,2.69,14.117,0.051
028,38428,781,32891,276,317,952,3186,25,2.032,85.591,0.718,0.825,2.477,8.291,0.065
029,37271,3102,25840,178,396,1247,6487,21,8.323,69.33,0.478,1.062,3.346,17.405,0.056
030,35251,9091,20333,212,500,850,4241,24,25.789,57.681,0.601,1.418,2.411,12.031,0.068
031,33721,269,25003,239,410,701,7064,35,0.798,74.147,0.709,1.216,2.079,20.948,0.104
032,34797,2678,21868,165,814,990,8248,34,7.696,62.844,0.474,2.339,2.845,23.703,0.098
033,38289,710,31782,337,820,987,3606,47,1.854,83.006,0.88,2.142,2.578,9.418,0.123
034,37171,468,29246,462,1076,1010,4843,66,1.259,78.68,1.243,2.895,2.717,13.029,0.178
035,38111,537,31774,221,340,895,4322,22,1.409,83.372,0.58,0.892,2.348,11.341,0.058
036,36605,594,28067,249,563,1031,6077,24,1.623,76.675,0.68,1.538,2.817,16.602,0.066
037,37045,529,28802,577,822,1020,5251,44,1.428,77.749,1.558,2.219,2.753,14.175,0.119
038,37406,790,27976,701,744,1073,6076,46,2.112,74.79,1.874,1.989,2.869,16.243,0.123
039,37321,874,28493,246,374,1107,6198,29,2.342,76.346,0.659,1.002,2.966,16.607,0.078
040,35505,1237,27563,575,958,1183,3919,70,3.484,77.631,1.619,2.698,3.332,11.038,0.197
041,34753,442,25172,108,1412,806,6781,32,1.272,72.431,0.311,4.063,2.319,19.512,0.092
042,36690,463,30253,296,872,643,4151,12,1.262,82.456,0.807,2.377,1.753,11.314,0.033
