district,total,american_indian,white,asian,black,two_or_more,other,pacific_islander,american_indian_pct,white_pct,asian_pct,black_pct,two_or_more_pct,other_pct,pacific_islander_pct
001,57720,741,49434,3159,1161,957,2137,131,1.284,85.644,5.473,2.011,1.658,3.702,0.227
002,63576,1493,57325,827,343,1270,2258,60,2.348,90.168,1.301,0.54,1.998,3.552,0.094
003,59454,684,48410,880,496,1194,7532,258,1.15,81.424,1.48,0.834,2.008,12.669,0.434
004,66900,741,57921,1943,3284,1448,1456,107,1.108,86.578,2.904,4.909,2.164,2.176,0.16
005,63182,858,59463,275,276,1070,1188,52,1.358,94.114,0.435,0.437,1.694,1.88,0.082
006,62515,566,57340,602,719,852,2408,28,0.905,91.722,0.963,1.15,1.363,3.852,0.045
007,57670,526,43259,1107,806,1157,8765,2050,0.912,75.011,1.92,1.398,2.006,15.199,3.555
008,62612,1089,53177,1951,2666,1458,2224,47,1.739,84.931,3.116,4.258,2.329,3.552,0.075
009,60895,1128,47943,2677,3236,1383,4485,43,1.852,78.731,4.396,5.314,2.271,7.365,0.071
010,63010,531,51778,278,7260,894,2248,21,0.843,82.174,0.441,11.522,1.419,3.568,0.033
011,61948,616,45736,262,12204,780,2330,20,0.994,73.83,0.423,19.7,1.259,3.761,0.032
012,64636,234,45053,303,17894,506,634,12,0.362,69.703,0.469,27.684,0.783,0.981,0.019
013,63941,374,56958,263,4849,751,721,25,0.585,89.079,0.411,7.584,1.175,1.128,0.039
014,66400,341,59642,442,4157,832,960,26,0.514,89.822,0.666,6.261,1.253,1.446,0.039
015,61888,381,55661,434,4050,765,583,14,0.616,89.938,0.701,6.544,1.236,0.942,0.023
016,64830,543,59508,557,1300,1099,1800,23,0.838,91.791,0.859,2.005,1.695,2.776,0.035
017,67024,408,65117,269,114,840,238,38,0.609,97.155,0.401,0.17,1.253,0.355,0.057
018,65144,423,63219,138,176,893,271,24,0.649,97.045,0.212,0.27,1.371,0.416,0.037
019,65237,413,62092,286,780,735,892,39,0.633,95.179,0.438,1.196,1.127,1.367,0.06
020,65234,293,63442,126,363,640,361,9,0.449,97.253,0.193,0.556,0.981,0.553,0.014
021,63057,240,52041,855,7913,651,1338,19,0.381,82.53,1.356,12.549,1.032,2.122,0.03
022,58922,153,45660,218,11541,507,837,6,0.26,77.492,0.37,19.587,0.86,1.421,0.01
023,63307,330,47566,234,13844,605,707,21,0.521,75.135,0.37,21.868,0.956,1.117,0.033
024,62666,179,28132,341,33137,478,391,8,0.286,44.892,0.544,52.879,0.763,0.624,0.013
025,61968,148,25774,355,34607,506,568,10,0.239,41.592,0.573,55.847,0.817,0.917,0.016
026,63074,184,43028,197,17456,447,1751,11,0.292,68.218,0.312,27.675,0.709,2.776,0.017
027,63207,229,42031,349,19375,541,664,18,0.362,66.497,0.552,30.653,0.856,1.051,0.028
028,65190,255,53630,392,9273,613,995,32,0.391,82.267,0.601,14.225,0.94,1.526,0.049
029,59943,368,56553,473,1360,720,438,31,0.614,94.345,0.789,2.269,1.201,0.731,0.052
030,60307,280,24777,483,32080,1004,1603,80,0.464,41.085,0.801,53.194,1.665,2.658,0.133
031,60632,204,19796,931,35327,856,3486,32,0.336,32.649,1.535,58.265,1.412,5.749,0.053
032,66354,220,51391,2265,10992,730,727,29,0.332,77.45,3.414,16.566,1.1,1.096,0.044
033,63924,352,57273,1113,3169,693,1308,16,0.551,89.595,1.741,4.957,1.084,2.046,0.025
034,65686,305,50272,1105,11630,972,1358,44,0.464,76.534,1.682,17.705,1.48,2.067,0.067
035,62390,325,51426,972,7624,878,1129,36,0.521,82.427,1.558,12.22,1.407,1.81,0.058
