district,total,american_indian,white,asian,black,two_or_more,other,pacific_islander,american_indian_pct,white_pct,asian_pct,black_pct,two_or_more_pct,other_pct,pacific_islander_pct
001,145913,581,109454,917,30774,1500,2626,61,0.398,75.013,0.628,21.091,1.028,1.8,0.042
002,143986,701,114847,2002,22129,1896,2256,155,0.487,79.763,1.39,15.369,1.317,1.567,0.108
003,140833,618,63537,473,73246,1050,1874,35,0.439,45.115,0.336,52.009,0.746,1.331,0.025
004,145510,2720,60735,835,75905,1452,3826,37,1.869,41.739,0.574,52.165,0.998,2.629,0.025
005,137031,568,57854,1476,70307,1737,5014,75,0.415,42.22,1.077,51.307,1.268,3.659,0.055
006,140779,1022,106403,2823,22411,3565,4183,372,0.726,75.582,2.005,15.919,2.532,2.971,0.264
007,147031,535,114380,1994,23077,1793,5162,90,0.364,77.793,1.356,15.695,1.219,3.511,0.061
008,158646,1349,122365,666,28653,1666,3902,45,0.85,77.131,0.42,18.061,1.05,2.46,0.028
009,158279,759,131486,1846,18808,2077,3199,104,0.48,83.072,1.166,11.883,1.312,2.021,0.066
010,141336,1443,95053,558,29974,1566,12645,97,1.021,67.253,0.395,21.208,1.108,8.947,0.069
011,138563,621,97521,1038,30836,1422,7093,32,0.448,70.38,0.749,22.254,1.026,5.119,0.023
012,139900,1306,100640,1245,26604,2257,7738,110,0.934,71.937,0.89,19.016,1.613,5.531,0.079
013,142807,37826,59791,889,37019,2022,5173,87,26.487,41.868,0.623,25.922,1.416,3.622,0.061
014,136074,889,48650,3887,68184,2918,11474,72,0.653,35.753,2.857,50.108,2.144,8.432,0.053
015,140805,362,117840,4912,13528,1812,2302,49,0.257,83.69,3.489,9.608,1.287,1.635,0.035
016,161095,725,113667,14567,22982,3269,5807,78,0.45,70.559,9.042,14.266,2.029,3.605,0.048
017,135110,490,107913,10402,12209,1781,2246,69,0.363,79.87,7.699,9.036,1.318,1.662,0.051
018,139053,832,100595,1663,28604,1787,5520,52,0.598,72.343,1.196,20.571,1.285,3.97,0.037
019,134722,2593,92294,3387,28890,3527,3578,453,1.925,68.507,2.514,21.444,2.618,2.656,0.336
020,144282,741,56075,2959,72369,2379,9673,86,0.514,38.865,2.051,50.158,1.649,6.704,0.06
021,131935,4260,49836,2711,65790,3992,4859,487,3.229,37.773,2.055,49.865,3.026,3.683,0.369
022,158747,752,108589,7780,33158,2341,6071,56,0.474,68.404,4.901,20.887,1.475,3.824,0.035
023,155496,668,119697,7294,19176,2334,6280,47,0.43,76.978,4.691,12.332,1.501,4.039,0.03
024,143634,884,110081,1461,23140,1676,6345,47,0.615,76.64,1.017,16.11,1.167,4.417,0.033
025,152151,3828,107051,1548,35650,1426,2588,60,2.516,70.358,1.017,23.431,0.937,1.701,0.039
026,146745,453,117940,2479,21800,1517,2501,55,0.309,80.371,1.689,14.856,1.034,1.704,0.037
027,147489,753,111354,5289,24310,1857,3863,63,0.511,75.5,3.586,16.483,1.259,2.619,0.043
028,152543,936,51908,6081,84296,2971,6273,78,0.614,34.028,3.986,55.26,1.948,4.112,0.051
029,148190,1023,126186,1490,12862,1419,5144,66,0.69,85.151,1.005,8.679,0.958,3.471,0.045
030,147140,388,134932,555,5865,1167,4203,30,0.264,91.703,0.377,3.986,0.793,2.856,0.02
031,154400,422,137648,2219,9470,1304,3298,39,0.273,89.15,1.437,6.133,0.845,2.136,0.025
032,140337,660,63585,2547,58334,2556,12552,103,0.47,45.309,1.815,41.567,1.821,8.944,0.073
033,145058,674,122043,1715,14531,1221,4852,22,0.465,84.134,1.182,10.017,0.842,3.345,0.015
034,150173,487,120787,1323,20908,1406,5225,37,0.324,80.432,0.881,13.923,0.936,3.479,0.025
035,132039,569,105593,2128,15744,1593,6370,42,0.431,79.971,1.612,11.924,1.206,4.824,0.032
036,137603,485,109049,2524,18811,1520,5166,48,0.352,79.249,1.834,13.67,1.105,3.754,0.035
037,143245,732,83731,6194,36562,2963,12923,140,0.511,58.453,4.324,25.524,2.068,9.022,0.098
038,135980,695,48905,7943,69874,2725,5743,95,0.511,35.965,5.841,51.385,2.004,4.223,0.07
039,135905,311,115798,7211,8918,1649,1961,57,0.229,85.205,5.306,6.562,1.213,1.443,0.042
040,137160,801,44418,5930,69385,3231,13266,129,0.584,32.384,4.323,50.587,2.356,9.672,0.094
041,134000,512,107374,4335,16938,1748,3042,51,0.382,80.13,3.235,12.64,1.304,2.27,0.038
042,146308,447,125192,3573,11314,1360,4368,54,0.306,85.567,2.442,7.733,0.93,2.985,0.037
043,149991,623,120517,1747,21596,1595,3862,51,0.415,80.349,1.165,14.398,1.063,2.575,0.034
044,150318,495,128383,2013,14462,1489,3442,34,0.329,85.408,1.339,9.621,0.991,2.29,0.023
045,153886,414,143745,845,4649,1388,2799,46,0.269,93.41,0.549,3.021,0.902,1.819,0.03
046,145804,425,119571,2546,19307,1309,2446,200,0.291,82.008,1.746,13.242,0.898,1.678,0.137
047,147841,461,135556,628,7623,1215,2340,18,0.312,91.69,0.425,5.156,0.822,1.583,0.012
048,147107,527,134555,1469,4762,1627,4036,131,0.358,91.467,0.999,3.237,1.106,2.744,0.089
049,154410,634,137183,1198,9803,2187,3246,159,0.411,88.843,0.776,6.349,1.416,2.102,0.103
050,156458,6111,143449,769,1906,2007,2174,42,3.906,91.685,0.492,1.218,1.283,1.39,0.027
