district,total,american_indian,white,asian,black,two_or_more,other,pacific_islander,american_indian_pct,white_pct,asian_pct,black_pct,two_or_more_pct,other_pct,pacific_islander_pct
001,170136,1724,156278,2256,1569,2945,5168,196,1.013,91.855,1.326,0.922,1.731,3.038,0.115
002,148925,3270,107500,2016,5009,3853,27097,180,2.196,72.184,1.354,3.363,2.587,18.195,0.121
003,154745,7687,103395,4429,5170,5030,28840,194,4.968,66.816,2.862,3.341,3.251,18.637,0.125
004,141485,9056,90488,1782,4972,4220,30755,212,6.401,63.956,1.259,3.514,2.983,21.737,0.15
005,174701,3941,154270,1850,1532,3504,9338,266,2.256,88.305,1.059,0.877,2.006,5.345,0.152
006,169965,9824,144149,2161,1760,3457,8405,209,5.78,84.811,1.271,1.036,2.034,4.945,0.123
007,139259,88938,44662,614,829,1822,2328,66,63.865,32.071,0.441,0.595,1.308,1.672,0.047
008,153405,12223,105543,2654,7364,3840,20609,1172,7.968,68.8,1.73,4.8,2.503,13.434,0.764
009,172120,2197,144448,6167,4673,4298,10085,252,1.276,83.923,3.583,2.715,2.497,5.859,0.146
010,166639,1947,136832,5119,7599,4387,10388,367,1.168,82.113,3.072,4.56,2.633,6.234,0.22
011,160257,2840,133368,4019,5176,3557,11088,209,1.772,83.221,2.508,3.23,2.22,6.919,0.13
012,147754,1148,123927,7779,4685,3062,6865,288,0.777,83.874,5.265,3.171,2.072,4.646,0.195
013,156650,1865,124928,3817,5655,3638,16489,258,1.191,79.75,2.437,3.61,2.322,10.526,0.165
014,163012,2118,133995,3154,5811,4365,13155,414,1.299,82.199,1.935,3.565,2.678,8.07,0.254
015,162579,1125,142482,8278,3164,2769,4547,214,0.692,87.639,5.092,1.946,1.703,2.797,0.132
016,164719,1541,145409,2881,3534,2905,8170,279,0.936,88.277,1.749,2.145,1.764,4.96,0.169
017,161935,1977,125838,11708,6851,3516,11754,291,1.221,77.709,7.23,4.231,2.171,7.258,0.18
018,168966,2666,136928,10781,7698,3733,6753,407,1.578,81.039,6.381,4.556,2.209,3.997,0.241
019,133549,2611,72984,3801,11055,4277,38474,347,1.955,54.65,2.846,8.278,3.203,28.809,0.26
020,166570,2498,135549,5449,6369,3857,12546,302,1.5,81.377,3.271,3.824,2.316,7.532,0.181
021,164688,1498,135047,3675,6420,3419,14396,233,0.91,82.002,2.231,3.898,2.076,8.741,0.141
022,167688,739,150179,5368,4338,2515,4334,215,0.441,89.559,3.201,2.587,1.5,2.585,0.128
023,176271,1315,162785,5329,2357,2255,2102,128,0.746,92.349,3.023,1.337,1.279,1.192,0.073
024,157984,5931,109376,3797,10501,4847,23232,300,3.754,69.232,2.403,6.647,3.068,14.705,0.19
025,167944,2832,143433,2792,4486,3140,10855,406,1.686,85.405,1.662,2.671,1.87,6.463,0.242
026,164423,8237,110193,6734,8855,5518,24137,749,5.01,67.018,4.096,5.385,3.356,14.68,0.456
027,140329,7030,66687,4749,22029,4713,34755,366,5.01,47.522,3.384,15.698,3.359,24.767,0.261
028,169608,2546,142242,4515,4703,3132,12262,208,1.501,83.865,2.662,2.773,1.847,7.23,0.123
029,135426,2334,75178,3351,8998,4687,40686,192,1.723,55.512,2.474,6.644,3.461,30.043,0.142
030,141271,4316,83470,5128,9548,4781,33727,301,3.055,59.085,3.63,6.759,3.384,23.874,0.213
