district,total,american_indian,white,asian,black,two_or_more,other,pacific_islander,american_indian_pct,white_pct,asian_pct,black_pct,two_or_more_pct,other_pct,pacific_islander_pct
001,42781,113,34151,486,7050,328,634,19,0.264,79.827,1.136,16.479,0.767,1.482,0.044
002,41837,143,29198,539,9894,499,1539,25,0.342,69.79,1.288,23.649,1.193,3.679,0.06
003,42731,92,33402,62,7539,336,1281,19,0.215,78.168,0.145,17.643,0.786,2.998,0.044
004,44625,106,37999,103,5418,288,701,10,0.238,85.152,0.231,12.141,0.645,1.571,0.022
005,45845,88,41547,71,3545,237,351,6,0.192,90.625,0.155,7.733,0.517,0.766,0.013
006,44226,82,37542,312,5681,277,317,15,0.185,84.887,0.705,12.845,0.626,0.717,0.034
007,41431,72,25234,105,15369,243,403,5,0.174,60.906,0.253,37.095,0.587,0.973,0.012
008,40545,68,26493,82,12969,250,678,5,0.168,65.342,0.202,31.987,0.617,1.672,0.012
009,47008,129,34699,864,10434,399,465,18,0.274,73.815,1.838,22.196,0.849,0.989,0.038
010,41671,101,24074,79,16733,242,432,10,0.242,57.772,0.19,40.155,0.581,1.037,0.024
011,41431,66,12239,161,28533,214,207,11,0.159,29.541,0.389,68.869,0.517,0.5,0.027
012,39275,63,11973,239,26661,157,174,8,0.16,30.485,0.609,67.883,0.4,0.443,0.02
013,43645,82,12206,222,30233,277,605,20,0.188,27.967,0.509,69.27,0.635,1.386,0.046
014,41654,55,29557,173,11512,213,142,2,0.132,70.958,0.415,27.637,0.511,0.341,0.005
015,44003,95,30600,868,11889,363,176,12,0.216,69.541,1.973,27.019,0.825,0.4,0.027
016,41131,73,15245,182,25289,234,102,6,0.177,37.065,0.442,61.484,0.569,0.248,0.015
017,41126,78,28717,302,11487,296,231,15,0.19,69.827,0.734,27.931,0.72,0.562,0.036
018,39446,3942,25443,103,9334,220,396,8,9.993,64.501,0.261,23.663,0.558,1.004,0.02
019,39206,82,29186,476,8428,296,718,20,0.209,74.443,1.214,21.497,0.755,1.831,0.051
020,42982,53,36062,649,5721,241,252,4,0.123,83.9,1.51,13.31,0.561,0.586,0.009
021,39192,110,12108,88,25876,193,807,10,0.281,30.894,0.225,66.024,0.492,2.059,0.026
022,43883,104,20393,264,22280,463,366,13,0.237,46.471,0.602,50.771,1.055,0.834,0.03
023,41965,108,23367,353,17626,267,235,9,0.257,55.682,0.841,42.002,0.636,0.56,0.021
024,41308,75,9968,107,30591,230,336,1,0.182,24.131,0.259,74.056,0.557,0.813,0.002
025,43875,68,34756,1065,7481,257,237,11,0.155,79.216,2.427,17.051,0.586,0.54,0.025
026,41885,45,12278,635,27902,260,752,13,0.107,29.314,1.516,66.616,0.621,1.795,0.031
027,40191,68,10246,410,29091,255,117,4,0.169,25.493,1.02,72.382,0.634,0.291,0.01
028,39794,58,5230,393,33511,309,279,14,0.146,13.143,0.988,84.211,0.776,0.701,0.035
029,43669,74,19487,294,23320,320,165,9,0.169,44.624,0.673,53.402,0.733,0.378,0.021
030,42173,97,30629,448,9672,319,945,63,0.23,72.627,1.062,22.934,0.756,2.241,0.149
031,41565,654,26629,101,12345,311,1479,46,1.573,64.066,0.243,29.7,0.748,3.558,0.111
032,43603,369,15496,224,27098,251,158,7,0.846,35.539,0.514,62.147,0.576,0.362,0.016
033,42892,80,31191,260,10945,202,201,13,0.187,72.72,0.606,25.518,0.471,0.469,0.03
034,43714,83,18323,120,24075,292,809,12,0.19,41.916,0.275,55.074,0.668,1.851,0.027
035,43147,85,31612,108,10780,239,308,15,0.197,73.266,0.25,24.984,0.554,0.714,0.035
036,43133,71,15611,108,26750,192,393,8,0.165,36.193,0.25,62.017,0.445,0.911,0.019
037,42495,119,27014,220,14192,396,549,5,0.28,63.57,0.518,33.397,0.932,1.292,0.012
038,43919,107,15890,81,27468,248,115,10,0.244,36.18,0.184,62.542,0.565,0.262,0.023
039,41896,84,29467,124,11709,210,294,8,0.2,70.334,0.296,27.948,0.501,0.702,0.019
040,44205,167,35298,166,7842,439,272,21,0.378,79.851,0.376,17.74,0.993,0.615,0.048
041,41556,67,27433,64,13541,199,233,19,0.161,66.015,0.154,32.585,0.479,0.561,0.046
042,41730,214,34275,175,5877,277,902,10,0.513,82.135,0.419,14.083,0.664,2.162,0.024
043,43075,120,32417,69,9998,238,226,7,0.279,75.257,0.16,23.211,0.553,0.525,0.016
044,40273,101,32151,471,6983,314,235,18,0.251,79.833,1.17,17.339,0.78,0.584,0.045
045,42733,116,31578,362,9779,363,516,19,0.271,73.896,0.847,22.884,0.849,1.207,0.044
046,43658,228,38968,407,3079,619,334,23,0.522,89.257,0.932,7.053,1.418,0.765,0.053
047,43985,214,35005,967,6921,480,369,29,0.487,79.584,2.198,15.735,1.091,0.839,0.066
048,43721,179,26301,980,14721,711,778,51,0.409,60.156,2.241,33.67,1.626,1.779,0.117
049,43999,182,34635,896,6562,744,922,58,0.414,78.718,2.036,14.914,1.691,2.096,0.132
050,43305,222,32421,2218,6364,809,1174,97,0.513,74.867,5.122,14.696,1.868,2.711,0.224
051,44978,177,32385,607,10878,412,495,24,0.394,72.002,1.35,24.185,0.916,1.101,0.053
052,43626,187,32512,780,8523,543,1054,27,0.429,74.524,1.788,19.537,1.245,2.416,0.062
