district,two_or_more,white,other,black,pacific_islander,asian,total,american_indian,two_or_more_pct,white_pct,other_pct,black_pct,pacific_islander_pct,asian_pct,american_indian_pct
HD-001,236,26761,687,799,4,78,28627,62,0.824,93.482,2.4,2.791,0.014,0.272,0.217
HD-002,293,25626,346,3354,4,247,29939,69,0.979,85.594,1.156,11.203,0.013,0.825,0.23
HD-003,368,27968,347,2649,4,1352,32742,54,1.124,85.419,1.06,8.091,0.012,4.129,0.165
HD-004,259,27803,199,1034,2,85,29445,63,0.88,94.424,0.676,3.512,0.007,0.289,0.214
HD-005,237,25722,521,2315,5,190,29052,62,0.816,88.538,1.793,7.968,0.017,0.654,0.213
HD-006,284,23536,405,4316,11,347,28982,83,0.98,81.209,1.397,14.892,0.038,1.197,0.286
HD-007,206,22543,123,4532,0,63,27536,69,0.748,81.867,0.447,16.458,0.0,0.229,0.251
HD-008,237,23096,316,4913,10,184,28833,77,0.822,80.103,1.096,17.04,0.035,0.638,0.267
HD-009,228,22213,389,5468,3,230,28595,64,0.797,77.681,1.36,19.122,0.01,0.804,0.224
HD-010,231,25827,609,1441,8,207,28401,78,0.813,90.937,2.144,5.074,0.028,0.729,0.275
HD-011,259,20663,197,6769,3,73,28037,73,0.924,73.699,0.703,24.143,0.011,0.26,0.26
HD-012,211,12175,1241,14503,18,116,28347,83,0.744,42.95,4.378,51.162,0.063,0.409,0.293
HD-013,190,23610,233,4984,2,327,29396,50,0.646,80.317,0.793,16.955,0.007,1.112,0.17
HD-014,197,22592,450,6217,10,61,29593,66,0.666,76.342,1.521,21.008,0.034,0.206,0.223
HD-015,774,16567,2541,6788,50,1332,28233,181,2.741,58.68,9.0,24.043,0.177,4.718,0.641
HD-016,211,19624,563,7518,13,139,28155,87,0.749,69.7,2.0,26.702,0.046,0.494,0.309
HD-017,244,27126,411,1400,7,138,29425,99,0.829,92.187,1.397,4.758,0.024,0.469,0.336
HD-018,297,24961,687,2520,7,324,28862,66,1.029,86.484,2.38,8.731,0.024,1.123,0.229
HD-019,461,22400,2769,3505,7,381,29702,179,1.552,75.416,9.323,11.801,0.024,1.283,0.603
HD-020,314,23847,968,2897,30,798,28922,68,1.086,82.453,3.347,10.017,0.104,2.759,0.235
HD-021,264,23504,309,1483,7,1634,27274,73,0.968,86.177,1.133,5.437,0.026,5.991,0.268
