district,two_or_more,white,other,black,pacific_islander,asian,total,american_indian,two_or_more_pct,white_pct,other_pct,black_pct,pacific_islander_pct,asian_pct,american_indian_pct
004,1048,87534,769,2796,25,2117,94519,230,1.109,92.61,0.814,2.958,0.026,2.24,0.243
005,791,91681,674,2764,29,1145,97265,181,0.813,94.259,0.693,2.842,0.03,1.177,0.186
006,1513,76082,1584,13212,26,1624,94699,658,1.598,80.341,1.673,13.952,0.027,1.715,0.695
007,1009,87094,575,6947,20,2637,98560,278,1.024,88.366,0.583,7.048,0.02,2.676,0.282
008,1410,69605,1185,19744,37,5581,97813,251,1.442,71.161,1.211,20.185,0.038,5.706,0.257
010,1684,32680,1518,48437,39,3444,88049,247,1.913,37.116,1.724,55.011,0.044,3.911,0.281
011,1474,62338,1532,20016,49,6485,92057,163,1.601,67.717,1.664,21.743,0.053,7.045,0.177
012,2096,64265,1800,16716,45,8210,93398,266,2.244,68.808,1.927,17.898,0.048,8.79,0.285
013,2353,53007,2319,19635,33,12048,89712,317,2.623,59.086,2.585,21.887,0.037,13.43,0.353
014,2256,55707,3256,21034,49,11812,94402,288,2.39,59.01,3.449,22.281,0.052,12.512,0.305
015,2022,55392,1746,8721,32,19603,87692,176,2.306,63.167,1.991,9.945,0.036,22.354,0.201
016,1749,77389,928,3663,58,10144,94057,126,1.86,82.279,0.987,3.894,0.062,10.785,0.134
017,3140,56334,7474,12295,51,18706,98354,354,3.193,57.277,7.599,12.501,0.052,19.019,0.36
018,3005,56020,10234,12129,62,9783,91707,474,3.277,61.086,11.159,13.226,0.068,10.668,0.517
019,2869,52991,8112,17373,47,11962,93727,373,3.061,56.538,8.655,18.536,0.05,12.763,0.398
01A,160,31385,34,224,2,85,31933,43,0.501,98.284,0.106,0.701,0.006,0.266,0.135
01B,317,30198,84,3945,17,266,34880,53,0.909,86.577,0.241,11.31,0.049,0.763,0.152
01C,276,29824,60,1789,7,242,32249,51,0.856,92.48,0.186,5.547,0.022,0.75,0.158
020,3510,41266,9050,28766,77,8064,91148,415,3.851,45.274,9.929,31.56,0.084,8.847,0.455
021,3086,53340,6916,28781,71,10496,103124,434,2.993,51.724,6.706,27.909,0.069,10.178,0.421
022,2697,24846,12755,48337,72,5409,94607,491,2.851,26.262,13.482,51.092,0.076,5.717,0.519
024,1706,6774,2444,74354,28,2037,87647,304,1.946,7.729,2.788,84.833,0.032,2.324,0.347
025,1718,7665,1833,74573,40,1334,87501,338,1.963,8.76,2.095,85.225,0.046,1.525,0.386
026,2020,10079,3051,70404,50,4228,90108,276,2.242,11.185,3.386,78.133,0.055,4.692,0.306
028,2190,50094,1099,36681,77,2970,93755,644,2.336,53.431,1.172,39.124,0.082,3.168,0.687
02A,696,60939,483,6470,24,963,69716,141,0.998,87.41,0.693,9.281,0.034,1.381,0.202
02B,672,24121,534,4034,19,415,29878,83,2.249,80.732,1.787,13.502,0.064,1.389,0.278
032,2530,59564,2747,29408,155,5908,100661,349,2.513,59.173,2.729,29.215,0.154,5.869,0.347
033,1381,84239,801,5962,72,2914,95574,205,1.445,88.14,0.838,6.238,0.075,3.049,0.214
036,1081,85010,1717,8976,75,943,98094,292,1.102,86.662,1.75,9.15,0.076,0.961,0.298
039,2946,43461,7133,18177,48,15018,87160,377,3.38,49.863,8.184,20.855,0.055,17.23,0.433
03A,1363,42572,3225,8949,47,3095,59513,262,2.29,71.534,5.419,15.037,0.079,5.201,0.44
03B,471,24314,559,2520,16,1351,29306,75,1.607,82.966,1.907,8.599,0.055,4.61,0.256
040,1610,25930,752,59269,42,2826,90713,284,1.775,28.585,0.829,65.337,0.046,3.115,0.313
041,1224,25338,801,61382,50,1769,90803,239,1.348,27.904,0.882,67.599,0.055,1.948,0.263
043,1642,28415,835,58221,37,4194,93610,266,1.754,30.355,0.892,62.195,0.04,4.48,0.284
045,1356,21189,836,61862,21,1428,86985,293,1.559,24.359,0.961,71.118,0.024,1.642,0.337
046,1881,56203,4989,29602,73,2588,95930,594,1.961,58.588,5.201,30.858,0.076,2.698,0.619
