district,two_or_more,white,other,black,pacific_islander,asian,total,american_indian,two_or_more_pct,white_pct,other_pct,black_pct,pacific_islander_pct,asian_pct,american_indian_pct
075,268,20472,177,9635,2,78,30711,79,0.873,66.66,0.576,31.373,0.007,0.254,0.257
076,431,23303,572,5158,10,651,30254,129,1.425,77.025,1.891,17.049,0.033,2.152,0.426
077,286,26971,259,2645,9,278,30568,120,0.936,88.233,0.847,8.653,0.029,0.909,0.393
078,460,30446,1114,2766,11,611,35535,127,1.294,85.679,3.135,7.784,0.031,1.719,0.357
079,655,27797,1577,3364,17,1848,35350,92,1.853,78.634,4.461,9.516,0.048,5.228,0.26
080,650,28644,1699,4646,19,1111,36870,101,1.763,77.689,4.608,12.601,0.052,3.013,0.274
081,260,25451,158,4913,10,95,30985,98,0.839,82.14,0.51,15.856,0.032,0.307,0.316
082,460,31460,663,3525,19,668,36906,111,1.246,85.244,1.796,9.551,0.051,1.81,0.301
083,350,13680,848,16658,11,1047,32789,195,1.067,41.721,2.586,50.804,0.034,3.193,0.595
084,486,23726,695,4944,10,1283,31487,343,1.543,75.352,2.207,15.702,0.032,4.075,1.089
085,697,18171,2110,10858,14,1355,33354,149,2.09,54.479,6.326,32.554,0.042,4.062,0.447
086,354,24921,451,6160,12,317,32329,114,1.095,77.086,1.395,19.054,0.037,0.981,0.353
087,545,9309,1185,17171,19,2065,30411,117,1.792,30.611,3.897,56.463,0.062,6.79,0.385
088,241,26467,621,2952,10,138,30530,101,0.789,86.692,2.034,9.669,0.033,0.452,0.331
089,274,28411,241,907,16,486,30418,83,0.901,93.402,0.792,2.982,0.053,1.598,0.273
090,465,25252,544,4749,17,361,31639,251,1.47,79.813,1.719,15.01,0.054,1.141,0.793
091,650,13919,823,20479,16,509,36544,148,1.779,38.088,2.252,56.039,0.044,1.393,0.405
092,676,19546,2657,10458,13,772,34245,123,1.974,57.077,7.759,30.539,0.038,2.254,0.359
093,599,13285,881,22085,16,664,37680,150,1.59,35.257,2.338,58.612,0.042,1.762,0.398
094,614,30076,1449,2975,16,1405,36649,114,1.675,82.065,3.954,8.118,0.044,3.834,0.311
095,244,27407,270,1390,5,150,29600,134,0.824,92.591,0.912,4.696,0.017,0.507,0.453
096,319,12664,375,15999,11,479,29923,76,1.066,42.322,1.253,53.467,0.037,1.601,0.254
097,583,8598,927,23551,8,603,34367,97,1.696,25.018,2.697,68.528,0.023,1.755,0.282
098,669,26587,495,9007,22,908,37783,95,1.771,70.368,1.31,23.839,0.058,2.403,0.251
099,469,6236,481,24246,16,160,31711,103,1.479,19.665,1.517,76.459,0.05,0.505,0.325
100,348,1132,456,25699,4,2240,29939,60,1.162,3.781,1.523,85.838,0.013,7.482,0.2
101,322,8238,1092,19450,12,1290,30506,102,1.056,27.005,3.58,63.758,0.039,4.229,0.334
102,431,10273,622,20398,10,981,32828,113,1.313,31.293,1.895,62.136,0.03,2.988,0.344
103,677,21975,879,6285,14,2014,32047,203,2.113,68.571,2.743,19.612,0.044,6.285,0.633
104,484,25134,567,3857,16,305,30544,181,1.585,82.288,1.856,12.628,0.052,0.999,0.593
105,606,18814,657,10860,38,1830,33159,354,1.828,56.739,1.981,32.751,0.115,5.519,1.068
State House Districts not defined,0,0,0,0,0,0,0,0,,,,,,,
