district,two_or_more,white,other,black,pacific_islander,asian,total,american_indian,two_or_more_pct,white_pct,other_pct,black_pct,pacific_islander_pct,asian_pct,american_indian_pct
001,551,17190,1318,178,16,172,21840,2415,2.523,78.709,6.035,0.815,0.073,0.788,11.058
002,571,12703,2481,157,18,78,20712,4704,2.757,61.332,11.979,0.758,0.087,0.377,22.711
003,539,15901,1889,96,5,79,20673,2164,2.607,76.917,9.138,0.464,0.024,0.382,10.468
004,365,4811,591,74,11,51,20350,14447,1.794,23.641,2.904,0.364,0.054,0.251,70.993
005,347,3474,815,102,3,235,20021,15045,1.733,17.352,4.071,0.509,0.015,1.174,75.146
006,340,5873,1215,89,6,89,21169,13557,1.606,27.743,5.74,0.42,0.028,0.42,64.042
007,750,15121,4208,195,11,118,20936,533,3.582,72.225,20.099,0.931,0.053,0.564,2.546
008,660,17094,3176,382,17,154,22156,673,2.979,77.153,14.335,1.724,0.077,0.695,3.038
009,464,3714,1564,152,6,178,19114,13036,2.428,19.431,8.182,0.795,0.031,0.931,68.201
010,772,13071,5779,867,25,253,21348,581,3.616,61.228,27.07,4.061,0.117,1.185,2.722
011,917,17306,3902,566,23,188,24128,1226,3.801,71.726,16.172,2.346,0.095,0.779,5.081
012,726,11616,6648,402,20,127,20026,487,3.625,58.005,33.197,2.007,0.1,0.634,2.432
013,765,11037,5545,653,13,217,18990,760,4.028,58.12,29.2,3.439,0.068,1.143,4.002
014,766,12142,6932,435,12,73,20872,512,3.67,58.174,33.212,2.084,0.057,0.35,2.453
015,692,17584,2713,318,24,753,23077,993,2.999,76.197,11.756,1.378,0.104,3.263,4.303
016,808,14700,4605,628,24,331,22095,999,3.657,66.531,20.842,2.842,0.109,1.498,4.521
017,861,16377,3899,404,17,401,22860,901,3.766,71.64,17.056,1.767,0.074,1.754,3.941
018,1061,18283,2644,805,27,982,25201,1399,4.21,72.549,10.492,3.194,0.107,3.897,5.551
019,1024,16537,2863,1164,31,643,23773,1511,4.307,69.562,12.043,4.896,0.13,2.705,6.356
020,722,17627,2034,743,31,1219,23287,911,3.1,75.695,8.734,3.191,0.133,5.235,3.912
021,929,13069,3898,1011,41,620,21086,1518,4.406,61.98,18.486,4.795,0.194,2.94,7.199
022,499,21479,1439,170,8,191,24158,372,2.066,88.911,5.957,0.704,0.033,0.791,1.54
023,694,18242,2258,578,19,436,23185,958,2.993,78.68,9.739,2.493,0.082,1.881,4.132
024,843,19201,1629,776,21,470,23856,916,3.534,80.487,6.828,3.253,0.088,1.97,3.84
025,832,18002,2579,601,18,709,23827,1086,3.492,75.553,10.824,2.522,0.076,2.976,4.558
026,754,12258,5415,891,25,323,20919,1253,3.604,58.597,25.886,4.259,0.12,1.544,5.99
027,532,20265,1281,469,29,750,24027,701,2.214,84.343,5.332,1.952,0.121,3.121,2.918
028,658,20120,1145,648,19,757,23946,599,2.748,84.022,4.782,2.706,0.079,3.161,2.501
029,703,15166,2430,674,28,549,20216,666,3.477,75.02,12.02,3.334,0.139,2.716,3.294
030,787,17988,1984,824,42,701,23586,1260,3.337,76.266,8.412,3.494,0.178,2.972,5.342
031,442,20506,507,328,8,1166,23161,204,1.908,88.537,2.189,1.416,0.035,5.034,0.881
032,499,17617,3136,221,16,118,21863,256,2.282,80.579,14.344,1.011,0.073,0.54,1.171
033,692,18419,2609,547,31,500,23335,537,2.966,78.933,11.181,2.344,0.133,2.143,2.301
034,380,15817,3852,103,12,45,20345,136,1.868,77.744,18.933,0.506,0.059,0.221,0.668
035,716,16015,3805,447,20,156,21570,411,3.319,74.247,17.64,2.072,0.093,0.723,1.905
036,579,15413,3659,282,10,133,20403,327,2.838,75.543,17.934,1.382,0.049,0.652,1.603
037,601,18659,2407,574,31,527,23102,303,2.602,80.768,10.419,2.485,0.134,2.281,1.312
038,533,21033,1480,171,19,120,23693,337,2.25,88.773,6.247,0.722,0.08,0.506,1.422
039,583,17830,3463,216,13,98,22568,365,2.583,79.006,15.345,0.957,0.058,0.434,1.617
040,811,14219,6238,104,18,81,22751,1280,3.565,62.498,27.419,0.457,0.079,0.356,5.626
041,622,15419,4906,126,5,142,22620,1400,2.75,68.165,21.689,0.557,0.022,0.628,6.189
042,965,15928,4404,103,8,174,23022,1440,4.192,69.186,19.13,0.447,0.035,0.756,6.255
043,475,17676,2526,103,16,822,22088,470,2.15,80.025,11.436,0.466,0.072,3.721,2.128
044,642,18092,1898,494,37,384,22206,659,2.891,81.473,8.547,2.225,0.167,1.729,2.968
045,657,16200,3827,217,14,356,21740,469,3.022,74.517,17.603,0.998,0.064,1.638,2.157
046,846,16414,4321,172,23,195,23379,1408,3.619,70.208,18.482,0.736,0.098,0.834,6.022
047,596,21828,1657,225,20,375,25239,538,2.361,86.485,6.565,0.891,0.079,1.486,2.132
048,863,17998,3537,241,15,245,23421,522,3.685,76.846,15.102,1.029,0.064,1.046,2.229
049,623,18925,2307,241,7,195,22988,690,2.71,82.326,10.036,1.048,0.03,0.848,3.002
050,570,19640,2142,257,8,155,23124,352,2.465,84.933,9.263,1.111,0.035,0.67,1.522
051,764,17815,2099,1133,60,389,22586,326,3.383,78.876,9.293,5.016,0.266,1.722,1.443
052,455,14484,4727,241,16,320,20495,252,2.22,70.671,23.064,1.176,0.078,1.561,1.23
053,591,14408,4384,644,50,161,20492,254,2.884,70.31,21.394,3.143,0.244,0.786,1.24
054,540,17246,3421,330,13,77,21973,346,2.458,78.487,15.569,1.502,0.059,0.35,1.575
055,434,18114,2705,211,11,213,21961,273,1.976,82.483,12.317,0.961,0.05,0.97,1.243
056,491,17316,1666,219,12,153,22450,2593,2.187,77.131,7.421,0.976,0.053,0.682,11.55
057,703,14702,2667,666,39,319,19854,758,3.541,74.051,13.433,3.354,0.196,1.607,3.818
058,609,13129,5874,513,7,74,20545,339,2.964,63.904,28.591,2.497,0.034,0.36,1.65
059,457,18727,2650,271,10,135,22482,232,2.033,83.298,11.787,1.205,0.044,0.6,1.032
060,624,16569,2241,600,28,545,21168,561,2.948,78.274,10.587,2.834,0.132,2.575,2.65
061,459,14379,3894,993,22,47,20040,246,2.29,71.751,19.431,4.955,0.11,0.235,1.228
062,350,17330,2303,829,7,189,21279,271,1.645,81.442,10.823,3.896,0.033,0.888,1.274
063,707,13768,4703,1023,9,172,20718,336,3.412,66.454,22.7,4.938,0.043,0.83,1.622
064,558,17051,2150,1154,27,404,21551,207,2.589,79.119,9.976,5.355,0.125,1.875,0.961
065,239,4357,2092,51,6,31,19372,12596,1.234,22.491,10.799,0.263,0.031,0.16,65.022
066,495,18087,2621,391,29,249,22122,250,2.238,81.76,11.848,1.767,0.131,1.126,1.13
067,607,18934,2313,251,6,137,22557,309,2.691,83.938,10.254,1.113,0.027,0.607,1.37
