district,two_or_more,white,other,black,pacific_islander,asian,total,american_indian,two_or_more_pct,white_pct,other_pct,black_pct,pacific_islander_pct,asian_pct,american_indian_pct
001,453,60648,284,2428,12,226,64221,170,0.705,94.436,0.442,3.781,0.019,0.352,0.265
002,1916,33408,3616,13382,100,3477,56163,264,3.411,59.484,6.438,23.827,0.178,6.191,0.47
003,342,62065,83,1883,8,294,64745,70,0.528,95.861,0.128,2.908,0.012,0.454,0.108
004,315,62070,230,1319,3,161,64195,97,0.491,96.69,0.358,2.055,0.005,0.251,0.151
005,439,61274,622,1656,18,211,64337,117,0.682,95.239,0.967,2.574,0.028,0.328,0.182
006,366,60788,374,1165,11,171,62988,113,0.581,96.507,0.594,1.85,0.017,0.271,0.179
007,711,59855,302,2479,18,922,64401,114,1.104,92.941,0.469,3.849,0.028,1.432,0.177
008,518,58658,397,2427,16,1064,63208,128,0.82,92.802,0.628,3.84,0.025,1.683,0.203
009,420,56131,896,6309,13,208,64142,165,0.655,87.511,1.397,9.836,0.02,0.324,0.257
010,1268,44095,2676,4769,28,4041,57050,173,2.223,77.292,4.691,8.359,0.049,7.083,0.303
011,1012,39559,1402,19127,33,1049,62356,174,1.623,63.441,2.248,30.674,0.053,1.682,0.279
012,1167,60408,484,2888,22,3927,69034,138,1.69,87.505,0.701,4.183,0.032,5.689,0.2
013,1962,36735,6227,7432,46,5600,58290,288,3.366,63.021,10.683,12.75,0.079,9.607,0.494
014,471,39414,774,21176,15,415,62379,114,0.755,63.185,1.241,33.947,0.024,0.665,0.183
015,547,59863,920,1132,14,281,62907,150,0.87,95.161,1.462,1.799,0.022,0.447,0.238
016,447,44381,849,16985,5,276,63086,143,0.709,70.35,1.346,26.924,0.008,0.437,0.227
017,643,57265,412,3751,19,1368,63576,118,1.011,90.073,0.648,5.9,0.03,2.152,0.186
018,803,52508,990,4468,36,686,59686,195,1.345,87.974,1.659,7.486,0.06,1.149,0.327
019,467,58171,140,3642,15,249,62844,160,0.743,92.564,0.223,5.795,0.024,0.396,0.255
020,687,55842,614,5030,16,390,62717,138,1.095,89.038,0.979,8.02,0.026,0.622,0.22
021,1613,34776,1080,13706,69,7249,58656,163,2.75,59.288,1.841,23.367,0.118,12.358,0.278
022,641,47057,385,12479,21,729,61467,155,1.043,76.557,0.626,20.302,0.034,1.186,0.252
023,704,51425,680,9408,28,1473,63982,264,1.1,80.374,1.063,14.704,0.044,2.302,0.413
024,659,57333,327,5395,19,375,64424,316,1.023,88.993,0.508,8.374,0.029,0.582,0.491
025,522,57373,783,2140,10,656,61585,101,0.848,93.161,1.271,3.475,0.016,1.065,0.164
026,1140,56466,3382,2714,62,1609,65566,193,1.739,86.121,5.158,4.139,0.095,2.454,0.294
027,995,43713,1328,10694,42,1970,58981,239,1.687,74.114,2.252,18.131,0.071,3.34,0.405
028,1329,43126,1689,10399,56,1491,58388,298,2.276,73.861,2.893,17.81,0.096,2.554,0.51
029,788,53930,2074,3482,16,849,61320,181,1.285,87.948,3.382,5.678,0.026,1.385,0.295
030,855,48944,1541,9097,42,595,61276,202,1.395,79.875,2.515,14.846,0.069,0.971,0.33
031,1711,37294,2740,11228,102,3361,56743,307,3.015,65.724,4.829,19.787,0.18,5.923,0.541
032,1471,39133,1500,4228,32,8777,55263,122,2.662,70.812,2.714,7.651,0.058,15.882,0.221
033,795,50780,1127,2723,38,1542,57140,135,1.391,88.869,1.972,4.765,0.067,2.699,0.236
034,1286,44921,1138,1954,29,8542,57978,108,2.218,77.479,1.963,3.37,0.05,14.733,0.186
035,1853,42985,2065,3058,51,12585,62743,146,2.953,68.51,3.291,4.874,0.081,20.058,0.233
036,1745,43038,2172,5178,29,9533,61859,164,2.821,69.574,3.511,8.371,0.047,15.411,0.265
037,2043,38998,2639,4882,39,14688,63480,191,3.218,61.434,4.157,7.691,0.061,23.138,0.301
038,2339,33887,7851,5761,41,12217,62463,367,3.745,54.251,12.569,9.223,0.066,19.559,0.588
039,1947,37283,4758,5479,58,12080,61870,265,3.147,60.26,7.69,8.856,0.094,19.525,0.428
040,1474,41056,1856,3675,52,10133,58415,169,2.523,70.283,3.177,6.291,0.089,17.347,0.289
041,1614,41973,2058,3348,46,11598,60765,128,2.656,69.074,3.387,5.51,0.076,19.087,0.211
042,1629,41053,1309,5523,75,8295,58066,182,2.805,70.701,2.254,9.512,0.129,14.285,0.313
043,1953,38605,3407,10418,65,7668,62318,202,3.134,61.948,5.467,16.717,0.104,12.305,0.324
044,1810,33967,6186,12763,63,4055,59112,268,3.062,57.462,10.465,21.591,0.107,6.86,0.453
045,1671,51797,3534,7546,57,2791,67692,296,2.469,76.519,5.221,11.148,0.084,4.123,0.437
046,2297,35868,4315,17958,74,5512,66262,238,3.467,54.131,6.512,27.102,0.112,8.318,0.359
047,1864,53109,3328,3223,42,6473,68384,345,2.726,77.663,4.867,4.713,0.061,9.466,0.505
048,1498,51895,1000,2799,42,6686,64068,148,2.338,81.0,1.561,4.369,0.066,10.436,0.231
049,2650,36838,7129,10818,79,8469,66373,390,3.993,55.501,10.741,16.299,0.119,12.76,0.588
050,1796,35574,6115,7710,77,4143,55689,274,3.225,63.88,10.981,13.845,0.138,7.44,0.492
051,1691,41641,2469,8738,67,3531,58448,311,2.893,71.245,4.224,14.95,0.115,6.041,0.532
052,2409,25644,7219,16793,80,4033,56592,414,4.257,45.314,12.756,29.674,0.141,7.126,0.732
053,1900,39121,5151,3292,40,13039,62827,284,3.024,62.268,8.199,5.24,0.064,20.754,0.452
054,1163,42858,1657,9896,57,1416,57249,202,2.031,74.862,2.894,17.286,0.1,2.473,0.353
055,745,47737,462,9821,24,663,59680,228,1.248,79.988,0.774,16.456,0.04,1.111,0.382
056,669,46976,298,7509,22,3126,58745,145,1.139,79.966,0.507,12.782,0.037,5.321,0.247
057,1585,48829,1682,10520,34,5186,68024,188,2.33,71.782,2.473,15.465,0.05,7.624,0.276
058,633,54936,642,4117,17,940,61395,110,1.031,89.48,1.046,6.706,0.028,1.531,0.179
059,550,48415,361,12344,26,340,62208,172,0.884,77.828,0.58,19.843,0.042,0.547,0.276
060,499,41036,389,20290,19,289,62712,190,0.796,65.436,0.62,32.354,0.03,0.461,0.303
061,587,40447,657,21112,15,258,63280,204,0.928,63.918,1.038,33.363,0.024,0.408,0.322
062,1038,41265,1954,14785,76,1574,61022,330,1.701,67.623,3.202,24.229,0.125,2.579,0.541
063,916,22534,880,36286,47,530,61404,211,1.492,36.698,1.433,59.094,0.077,0.863,0.344
064,680,45123,302,14847,30,519,61722,221,1.102,73.107,0.489,24.055,0.049,0.841,0.358
065,544,48341,311,8572,20,1310,59232,134,0.918,81.613,0.525,14.472,0.034,2.212,0.226
066,818,45692,895,9245,42,1626,58534,216,1.397,78.061,1.529,15.794,0.072,2.778,0.369
