district,two_or_more,white,other,black,pacific_islander,asian,total,american_indian,two_or_more_pct,white_pct,other_pct,black_pct,pacific_islander_pct,asian_pct,american_indian_pct
001,418,39195,211,1115,17,188,41298,154,1.012,94.908,0.511,2.7,0.041,0.455,0.373
002,393,38012,436,1515,17,190,40653,90,0.967,93.504,1.072,3.727,0.042,0.467,0.221
003,419,37963,332,837,21,546,40240,122,1.041,94.341,0.825,2.08,0.052,1.357,0.303
004,820,28545,6198,1959,27,605,38389,235,2.136,74.357,16.145,5.103,0.07,1.576,0.612
005,530,33807,2662,1439,41,364,38998,155,1.359,86.689,6.826,3.69,0.105,0.933,0.397
006,533,33486,3300,732,23,308,38578,196,1.382,86.801,8.554,1.897,0.06,0.798,0.508
007,440,41202,972,145,33,126,43050,132,1.022,95.707,2.258,0.337,0.077,0.293,0.307
008,420,42451,497,225,12,175,43921,141,0.956,96.653,1.132,0.512,0.027,0.398,0.321
009,505,39939,554,385,29,223,41849,214,1.207,95.436,1.324,0.92,0.069,0.533,0.511
010,440,36611,1434,1451,32,548,40720,204,1.081,89.909,3.522,3.563,0.079,1.346,0.501
011,348,38632,1129,397,10,157,40794,121,0.853,94.7,2.768,0.973,0.025,0.385,0.297
012,425,36013,960,3800,31,444,41793,120,1.017,86.17,2.297,9.092,0.074,1.062,0.287
013,508,28665,2441,7827,55,519,40153,138,1.265,71.389,6.079,19.493,0.137,1.293,0.344
014,403,35448,768,2482,16,209,39442,116,1.022,89.874,1.947,6.293,0.041,0.53,0.294
015,564,32101,1551,4875,29,343,39649,186,1.422,80.963,3.912,12.295,0.073,0.865,0.469
016,401,32752,1886,4022,19,219,39416,117,1.017,83.093,4.785,10.204,0.048,0.556,0.297
017,522,31433,455,4737,24,282,37564,111,1.39,83.679,1.211,12.61,0.064,0.751,0.295
018,503,31651,1011,6453,2,335,40084,129,1.255,78.962,2.522,16.099,0.005,0.836,0.322
019,529,30002,624,6514,16,474,38287,128,1.382,78.361,1.63,17.014,0.042,1.238,0.334
020,600,33305,1082,2661,17,736,38519,118,1.558,86.464,2.809,6.908,0.044,1.911,0.306
