district,total,two_or_more,asian,american_indian,white,pacific_islander,other,black,two_or_more_pct,asian_pct,american_indian_pct,white_pct,pacific_islander_pct,other_pct,black_pct
001,370850.0,10615.0,6007.0,7942.0,329196.0,594.0,11410.0,5086.0,2.862,1.62,2.142,88.768,0.16,3.077,1.371
002,365635.0,12373.0,9333.0,12212.0,300372.0,913.0,25597.0,4835.0,3.384,2.553,3.34,82.151,0.25,7.001,1.322
003,352351.0,13025.0,20542.0,6669.0,273617.0,829.0,31636.0,6033.0,3.697,5.83,1.893,77.655,0.235,8.979,1.712
004,362572.0,12996.0,29412.0,4037.0,266367.0,982.0,41972.0,6806.0,3.584,8.112,1.113,73.466,0.271,11.576,1.877
005,360835.0,10619.0,5924.0,6893.0,295625.0,505.0,33712.0,7557.0,2.943,1.642,1.91,81.928,0.14,9.343,2.094
006,350612.0,10380.0,25494.0,2624.0,292171.0,880.0,10569.0,8494.0,2.961,7.271,0.748,83.332,0.251,3.014,2.423
007,346100.0,17512.0,47840.0,4449.0,200080.0,3286.0,37490.0,35443.0,5.06,13.823,1.285,57.81,0.949,10.832,10.241
008,352594.0,15479.0,29398.0,3428.0,254528.0,2191.0,21907.0,25663.0,4.39,8.338,0.972,72.187,0.621,6.213,7.278
009,334848.0,16565.0,72797.0,2922.0,161337.0,4784.0,36160.0,40283.0,4.947,21.74,0.873,48.182,1.429,10.799,12.03
010,364547.0,11519.0,18205.0,3156.0,292304.0,915.0,29963.0,8485.0,3.16,4.994,0.866,80.183,0.251,8.219,2.328
011,341465.0,17446.0,36446.0,2915.0,203302.0,2585.0,35857.0,42914.0,5.109,10.673,0.854,59.538,0.757,10.501,12.568
012,334915.0,13475.0,20049.0,3649.0,240010.0,2081.0,45934.0,9717.0,4.023,5.986,1.09,71.663,0.621,13.715,2.901
013,322471.0,15932.0,59703.0,3408.0,150147.0,2085.0,60362.0,30834.0,4.941,18.514,1.057,46.561,0.647,18.719,9.562
014,358199.0,16577.0,56599.0,2367.0,210288.0,2382.0,35382.0,34604.0,4.628,15.801,0.661,58.707,0.665,9.878,9.661
015,,,,,,,,,,,,,,,
016,350379.0,10559.0,60565.0,1177.0,256183.0,943.0,11716.0,9236.0,3.014,17.286,0.336,73.116,0.269,3.344,2.636
017,408761.0,16566.0,114311.0,2632.0,211036.0,1855.0,31160.0,31201.0,4.053,27.965,0.644,51.628,0.454,7.623,7.633
018,,,,,,,,,,,,,,,
019,393307.0,13372.0,173251.0,1285.0,169279.0,1492.0,21481.0,13147.0,3.4,44.05,0.327,43.04,0.379,5.462,3.343
020,348027.0,17808.0,111434.0,2463.0,139174.0,5484.0,43100.0,28564.0,5.117,32.019,0.708,39.989,1.576,12.384,8.207
021,318196.0,12551.0,20036.0,4328.0,196041.0,1338.0,72185.0,11717.0,3.944,6.297,1.36,61.61,0.42,22.686,3.682
022,361226.0,13932.0,80050.0,1632.0,219862.0,4576.0,33746.0,7428.0,3.857,22.161,0.452,60.865,1.267,9.342,2.056
023,342822.0,11856.0,36092.0,4870.0,229674.0,679.0,42802.0,16849.0,3.458,10.528,1.421,66.995,0.198,12.485,4.915
024,358101.0,11097.0,92467.0,1378.0,209568.0,2926.0,29862.0,10803.0,3.099,25.821,0.385,58.522,0.817,8.339,3.017
025,354708.0,12798.0,175215.0,1742.0,123699.0,2012.0,28891.0,10351.0,3.608,49.397,0.491,34.873,0.567,8.145,2.918
026,320827.0,10410.0,11201.0,6407.0,207667.0,361.0,79925.0,4856.0,3.245,3.491,1.997,64.729,0.113,24.912,1.514
027,343687.0,13176.0,116516.0,3593.0,124385.0,1532.0,72343.0,12142.0,3.834,33.902,1.045,36.191,0.446,21.049,3.533
028,354635.0,11821.0,89856.0,1981.0,219534.0,1115.0,22014.0,8314.0,3.333,25.338,0.559,61.904,0.314,6.208,2.344
029,368889.0,14886.0,34604.0,2936.0,272387.0,1607.0,33504.0,8965.0,4.035,9.381,0.796,73.84,0.436,9.082,2.43
030,325922.0,12658.0,18517.0,4805.0,179904.0,790.0,101772.0,7476.0,3.884,5.681,1.474,55.198,0.242,31.226,2.294
031,314850.0,11061.0,25836.0,5727.0,158629.0,330.0,96469.0,16798.0,3.513,8.206,1.819,50.382,0.105,30.64,5.335
032,315978.0,10942.0,11857.0,5030.0,155742.0,375.0,108161.0,23871.0,3.463,3.752,1.592,49.289,0.119,34.231,7.555
033,329415.0,12726.0,9870.0,5040.0,218818.0,1323.0,52205.0,29433.0,3.863,2.996,1.53,66.426,0.402,15.848,8.935
034,335721.0,11147.0,17418.0,4833.0,239642.0,565.0,45964.0,16152.0,3.32,5.188,1.44,71.381,0.168,13.691,4.811
035,359077.0,12202.0,14175.0,4276.0,276075.0,691.0,42681.0,8977.0,3.398,3.948,1.191,76.885,0.192,11.886,2.5
036,323398.0,12595.0,14440.0,3132.0,193280.0,745.0,56948.0,42258.0,3.895,4.465,0.968,59.765,0.23,17.609,13.067
037,367474.0,12666.0,17288.0,3834.0,278732.0,583.0,48721.0,5650.0,3.447,4.705,1.043,75.851,0.159,13.258,1.538
038,351818.0,11225.0,43654.0,1864.0,247927.0,511.0,34413.0,12224.0,3.191,12.408,0.53,70.47,0.145,9.781,3.475
039,343345.0,13640.0,25115.0,3044.0,186084.0,406.0,102311.0,12745.0,3.973,7.315,0.887,54.197,0.118,29.798,3.712
040,333685.0,12979.0,30190.0,3253.0,195264.0,1067.0,55017.0,35915.0,3.89,9.047,0.975,58.517,0.32,16.488,10.763
041,363586.0,13305.0,46209.0,2257.0,235037.0,513.0,35713.0,30552.0,3.659,12.709,0.621,64.644,0.141,9.822,8.403
042,358808.0,10329.0,12606.0,4701.0,280061.0,809.0,36775.0,13527.0,2.879,3.513,1.31,78.053,0.225,10.249,3.77
043,381417.0,14568.0,59869.0,1568.0,264783.0,313.0,31855.0,8461.0,3.819,15.696,0.411,69.421,0.082,8.352,2.218
044,338873.0,10947.0,28066.0,3058.0,231503.0,817.0,57138.0,7344.0,3.23,8.282,0.902,68.316,0.241,16.861,2.167
045,364331.0,14934.0,46249.0,1707.0,241197.0,462.0,44178.0,15604.0,4.099,12.694,0.469,66.203,0.127,12.126,4.283
046,358293.0,14037.0,33895.0,2066.0,224158.0,462.0,66264.0,17411.0,3.918,9.46,0.577,62.563,0.129,18.494,4.859
047,316046.0,12366.0,16475.0,3581.0,152141.0,984.0,93587.0,36912.0,3.913,5.213,1.133,48.139,0.311,29.612,11.679
048,337378.0,11886.0,47583.0,3373.0,183496.0,534.0,80485.0,10021.0,3.523,14.104,1.0,54.389,0.158,23.856,2.97
049,362747.0,8138.0,199167.0,1942.0,107257.0,295.0,42558.0,3390.0,2.243,54.905,0.535,29.568,0.081,11.732,0.935
050,400330.0,13911.0,38403.0,1200.0,313936.0,442.0,16471.0,15967.0,3.475,9.593,0.3,78.419,0.11,4.114,3.988
051,348231.0,13861.0,55752.0,3826.0,160713.0,330.0,103711.0,10038.0,3.98,16.01,1.099,46.151,0.095,29.782,2.883
052,329263.0,12530.0,27301.0,3557.0,172295.0,804.0,90448.0,22328.0,3.805,8.292,1.08,52.327,0.244,27.47,6.781
053,354298.0,15000.0,74024.0,3911.0,127849.0,345.0,110692.0,22477.0,4.234,20.893,1.104,36.085,0.097,31.243,6.344
054,375241.0,16157.0,49002.0,2300.0,160557.0,567.0,51736.0,94922.0,4.306,13.059,0.613,42.788,0.151,13.787,25.296
055,351337.0,10288.0,113064.0,1788.0,180141.0,538.0,35921.0,9597.0,2.928,32.181,0.509,51.273,0.153,10.224,2.732
056,328306.0,10313.0,7130.0,4068.0,202809.0,366.0,91368.0,12252.0,3.141,2.172,1.239,61.774,0.111,27.83,3.732
057,344852.0,11549.0,43785.0,3722.0,195103.0,698.0,83503.0,6492.0,3.349,12.697,1.079,56.576,0.202,24.214,1.883
058,341855.0,11632.0,52236.0,3125.0,171470.0,956.0,86347.0,16089.0,3.403,15.28,0.914,50.159,0.28,25.258,4.706
059,319044.0,13164.0,8995.0,3057.0,98075.0,254.0,126336.0,69163.0,4.126,2.819,0.958,30.74,0.08,39.598,21.678
060,329885.0,11864.0,29026.0,3287.0,191443.0,1260.0,73773.0,19232.0,3.596,8.799,0.996,58.033,0.382,22.363,5.83
061,329301.0,13400.0,26115.0,3114.0,169092.0,1371.0,74206.0,42003.0,4.069,7.93,0.946,51.349,0.416,22.534,12.755
062,355015.0,13712.0,23726.0,2205.0,154307.0,1775.0,67689.0,91601.0,3.862,6.683,0.621,43.465,0.5,19.067,25.802
063,319486.0,12133.0,20349.0,2652.0,152340.0,2024.0,104576.0,25412.0,3.798,6.369,0.83,47.683,0.634,32.733,7.954
064,319811.0,11843.0,25429.0,2452.0,87107.0,3296.0,100008.0,89676.0,3.703,7.951,0.767,27.237,1.031,31.271,28.04
