district,total,white,black,american_indian,asian,pacific_islander,other,two_or_more,white_pct,black_pct,american_indian_pct,asian_pct,pacific_islander_pct,other_pct,two_or_more_pct
073,61731,47121,11561,117,780,25,1204,923,76.333,18.728,0.19,1.264,0.04,1.95,1.495
074,66088,52625,8104,430,885,281,1334,2429,79.629,12.262,0.651,1.339,0.425,2.019,3.675
075,62143,57169,3108,246,294,9,341,976,91.996,5.001,0.396,0.473,0.014,0.549,1.571
076,61592,52699,6737,151,436,21,635,913,85.561,10.938,0.245,0.708,0.034,1.031,1.482
077,65387,54878,8340,145,241,20,803,960,83.928,12.755,0.222,0.369,0.031,1.228,1.468
078,65398,61605,1569,226,285,25,720,968,94.2,2.399,0.346,0.436,0.038,1.101,1.48
079,64221,51541,10893,185,130,11,566,895,80.256,16.962,0.288,0.202,0.017,0.881,1.394
080,61092,24146,35023,119,271,6,758,769,39.524,57.328,0.195,0.444,0.01,1.241,1.259
081,61081,47501,11449,248,367,52,460,1004,77.767,18.744,0.406,0.601,0.085,0.753,1.644
082,61188,37331,21028,226,105,8,1737,753,61.01,34.366,0.369,0.172,0.013,2.839,1.231
083,65808,45902,14737,149,2939,12,1262,807,69.751,22.394,0.226,4.466,0.018,1.918,1.226
084,67196,9671,51820,164,576,36,4158,771,14.392,77.118,0.244,0.857,0.054,6.188,1.147
085,67197,11432,52126,113,913,35,1856,722,17.013,77.572,0.168,1.359,0.052,2.762,1.074
086,67018,19780,43972,219,1139,19,923,966,29.514,65.612,0.327,1.7,0.028,1.377,1.441
087,65681,10508,50952,159,805,11,2572,674,15.999,77.575,0.242,1.226,0.017,3.916,1.026
088,65234,17313,43968,143,930,30,1808,1042,26.54,67.4,0.219,1.426,0.046,2.772,1.597
089,62120,54798,3935,159,1110,26,929,1163,88.213,6.335,0.256,1.787,0.042,1.495,1.872
090,66004,20467,42601,155,1107,13,787,874,31.009,64.543,0.235,1.677,0.02,1.192,1.324
091,65943,11248,49883,169,369,74,3440,760,17.057,75.646,0.256,0.56,0.112,5.217,1.153
092,61059,55242,3207,252,258,28,1058,1014,90.473,5.252,0.413,0.423,0.046,1.733,1.661
093,67251,19524,42304,165,905,43,3230,1080,29.032,62.905,0.245,1.346,0.064,4.803,1.606
094,67212,52841,12667,175,249,5,573,702,78.618,18.846,0.26,0.37,0.007,0.853,1.044
095,65174,53143,6291,115,4305,19,492,809,81.54,9.653,0.176,6.605,0.029,0.755,1.241
096,66707,42910,17629,184,3472,45,1192,1275,64.326,26.428,0.276,5.205,0.067,1.787,1.911
097,66733,45674,14584,197,1774,18,3202,1284,68.443,21.854,0.295,2.658,0.027,4.798,1.924
098,65479,17723,41133,149,559,52,4780,1083,27.067,62.819,0.228,0.854,0.079,7.3,1.654
099,66219,50975,11381,198,1598,34,878,1155,76.979,17.187,0.299,2.413,0.051,1.326,1.744
