district,total,white,black,american_indian,asian,pacific_islander,other,two_or_more,white_pct,black_pct,american_indian_pct,asian_pct,pacific_islander_pct,other_pct,two_or_more_pct
060,470287,261835,26195,4583,38257,1757,115121,22539,55.676,5.57,0.975,8.135,0.374,24.479,4.793
061,470325,229614,60442,4379,31415,2071,117421,24983,48.82,12.851,0.931,6.679,0.44,24.966,5.312
062,466713,193189,119101,2947,27698,2534,99601,21643,41.394,25.519,0.631,5.935,0.543,21.341,4.637
063,461153,214505,35511,3714,25625,3067,158699,20032,46.515,7.7,0.805,5.557,0.665,34.414,4.344
064,466400,128253,121892,3438,31115,4781,157689,19232,27.498,26.135,0.737,6.671,1.025,33.81,4.123
065,461510,225532,14214,3661,113202,2310,81586,21005,48.868,3.08,0.793,24.529,0.501,17.678,4.551
066,467745,265544,22084,1975,112237,2115,39557,24233,56.771,4.721,0.422,23.995,0.452,8.457,5.181
067,462769,313210,23500,4267,28979,1565,66126,25122,67.682,5.078,0.922,6.262,0.338,14.289,5.429
068,463053,291822,7897,2464,85613,1118,53243,20896,63.021,1.705,0.532,18.489,0.241,11.498,4.513
069,465317,225447,8608,4289,42307,1575,165474,17617,48.45,1.85,0.922,9.092,0.338,35.562,3.786
070,468514,242899,50700,3711,56623,3533,84934,26114,51.845,10.821,0.792,12.086,0.754,18.128,5.574
071,462584,349308,20433,6278,14840,2088,45226,24411,75.512,4.417,1.357,3.208,0.451,9.777,5.277
072,469933,239122,5192,2633,149595,2121,52624,18646,50.884,1.105,0.56,31.833,0.451,11.198,3.968
073,461101,367501,5742,2035,38073,712,26735,20303,79.701,1.245,0.441,8.257,0.154,5.798,4.403
074,470248,336278,5720,1678,78360,1182,26734,20296,71.511,1.216,0.357,16.664,0.251,5.685,4.316
075,465548,311147,12124,6579,32219,1409,79414,22656,66.835,2.604,1.413,6.921,0.303,17.058,4.867
076,468627,339027,15788,3885,26144,3443,56727,23613,72.345,3.369,0.829,5.579,0.735,12.105,5.039
077,464066,298066,12882,1857,105796,1635,19113,24717,64.229,2.776,0.4,22.798,0.352,4.119,5.326
078,461885,343572,20147,2744,41625,1371,31581,20845,74.385,4.362,0.594,9.012,0.297,6.837,4.513
079,466416,233159,50971,3218,84003,3646,63054,28365,49.989,10.928,0.69,18.01,0.782,13.519,6.081
080,464602,223044,31631,4055,44320,2287,136709,22556,48.008,6.808,0.873,9.539,0.492,29.425,4.855
